Unnamed: 0,Site$,Time,Required,PA$,Game Name,Level,Per Level,Per Range,xxx,Per Level.1,Per Range.1,xxx.1,Per Level.2,Per Range.2
Ratchet,200.0,,Required: L60,237.8121284,,18,34,,18,,,18,,
Booty Bay,300.0,,Required: L60,356.7181926,,19,36,,19,,,19,,
Gadjetstan,350.0,,Required: L60,416.1712247,,20,38,,20,,,20,,
Everlook,400.0,,Required: L60,475.6242568,,21,41,,21,,,21,,
Gelkis / Magram Clan Centaur,200.0,,Required: L60,237.8121284,,22,44,,22,,,22,,
Argent Dawn,300.0,,Required: L60,356.7181926,,23,47,,23,,,23,,
Timbermaw Hold,300.0,,Required: L60,356.7181926,,24,50,,24,,,24,,
Hydraxian Waterlords,1300.0,,Required: L60,1545.778835,,25,53,,25,,,25,,
Zandalar Tribe,200.0,,Required: L60,237.8121284,,26,56,,26,,,26,,
Cenarion Circle,1400.0,,Required: L60,1664.684899,,27,59,,27,,,27,,
Brood of Nozdormu,2000.0,,Required: L60,2378.121284,,28,62,,28,,,28,,
Bloodsail Buccaneers,8000.0,,Required: L60,9512.485137,,29,65,,29,,,29,,
Thorium Brotherhood,300.0,,Required: L60,356.7181926,,30,68,,30,,,30,,
Shen'Dralar (Honored*),300.0,,Required: L60,356.7181926,,31,72,,31,,,31,,
Darkmoon Faire (Honored*),200.0,,Required: L60,237.8121284,,32,76,,32,,,32,,
,,,,,,33,80,,33,,,33,,
▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬,,,,,,34,84,,34,,,34,,
,,,,,,35,88,,35,,,35,,
Raid Attunement,,,,,,36,92,,36,,,36,,
,,,,,,37,96,,37,,,37,,
Molten Core Attunement,30.0,1,Required: L60,35.67181926,,38,100,,38,,,38,,
Onyxia Lair Attunement,75.0,1,Required: L60,89.17954816,,39,104,,39,,,39,,
Blackwing Lair Attunement,50.0,1,Required: L60,59.4530321,,40,108,,40,,,40,,
Seal of Ascension,60.0,2,Required: L58,71.34363853,,41,112,,41,,,41,,
Naxxramas Attunement,130.0,5,Required: L60,154.5778835,,42,116,,42,,,42,,
,,,,,,43,120,,43,,,43,,
▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬,,,,,,44,124,,44,,,44,,
,,,,,,45,128,,45,,,45,,
Dungeon Attunements,,,,,,46,134,,46,,,46,,
,,,,,,47,140,,47,,,47,,
NM Attunement To Arcatraz,70.0,2,Required: L70,83.23424495,,48,146,,48,,,48,,
NM Attunement To The Black Morass,70.0,2,Required: L70,83.23424495,,49,152,,49,,,49,,
Shattered Halls Key,110.0,2,Required: L70,130.7966706,,50,158,,50,,,50,,
,,,,,,51,166,,51,,,51,,
Flamewrought key,100.0,5,Required: L70,118.9060642,,52,174,,52,,,52,,
Reservoir Key,100.0,5,Required: L70,118.9060642,,53,182,,53,,,53,,
Auchenai Key,100.0,5,Required: L70,118.9060642,,54,190,,54,,,54,,
Warpforget Key,100.0,5,Required: L70,118.9060642,,55,198,,55,,,55,,
Key of Time,100.0,5,Required: L70,118.9060642,,56,208,,56,,,56,,
,,,,,,57,218,,57,,,57,,
▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬,,,,,,58,228,,58,,,58,,
,,,,,,59,238,,59,,,59,,
Honor Farming (TBC Only),,,,,,60,248,,60,,,60,,
,,,,,,61,248,,61,,,61,,
5K Honor Points,25.0,0.5,Required: L60 & TBC,29.72651605,,62,248,,62,,,62,,
10K Honor Points,50.0,1,Required: L60 & TBC,59.4530321,,63,248,,63,,,63,,
15K Honor Points,75.0,2,Required: L60 & TBC,89.17954816,,64,248,,64,,,64,,
20K Honor Points,100.0,2,Required: L60 & TBC,118.9060642,,65,248,,65,,,65,,
25K Honor Points,125.0,2,Required: L60 & TBC,148.6325803,,66,248,,66,,,66,,
50K Honor Points,225.0,4,Required: L60 & TBC,267.5386445,,67,248,,67,,,67,,
75K Honor Points,300.0,6,Required: L60 & TBC,356.7181926,,68,248,,68,,,68,,
,,,,,,69,248,,69,,,69,,
▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬,,,,,,70,248,,70,,,70,,
,,,,,,71,248,,71,,,71,,
Gear,,,,,,72,248,,72,,,72,,
,,,,,,73,248,,73,,,73,,
Dungeon Pre-Raid Gear,390.0,14,Required: L70,463.7336504,,74,248,,74,,,74,,
Tier 4 Raid BIS Gear Set,1100.0,24,Required: L70,1307.966706,,75,248,,75,,,75,,
,,,,,,76,248,,76,,,76,,
,,,,,,77,248,,77,,,77,,
,,,,,,78,248,,78,,,78,,
,,,,,,79,248,,79,,,79,,
,,,,,,80,248,,80,,,80,,
,,,,,,81,248,,81,,,81,,
,,,,,,82,248,,82,,,82,,
,,,,,,83,248,,83,,,83,,
,,,,,,84,248,,84,,,84,,
,,,,,,85,248,,85,,,85,,
,,,,,,86,248,,86,,,86,,
,,,,,,87,248,,87,,,87,,
,,,,,,88,248,,88,,,88,,
,,,,,,89,248,,89,,,89,,
,,,,,,90,248,,90,,,90,,
,,,,,,91,248,,91,,,91,,
,,,,,,92,248,,92,,,92,,
,,,,,,93,248,,93,,,93,,
,,,,,,94,248,,94,,,94,,
,,,,,,95,248,,95,,,95,,
,,,,,,96,248,,96,,,96,,
,,,,,,97,248,,97,,,97,,
,,,,,,98,248,,98,,,98,,
,,,,,,99,248,,99,,,99,,
,,,,,,100,248,,100,,,100,,
,,,,,,101,248,,101,,,101,,
,,,,,,102,248,,102,,,102,,
,,,,,,103,248,,103,,,103,,
,,,,,,104,248,,104,,,104,,
,,,,,,105,248,,105,,,105,,
,,,,,,106,248,,106,,,106,,
,,,,,,107,248,,107,,,107,,
,,,,,,108,248,,108,,,108,,
,,,,,,109,248,,109,,,109,,
,,,,,,110,248,,110,,,110,,
,,,,,,111,248,,111,,,111,,
,,,,,,112,248,,112,,,112,,
,,,,,,113,248,,113,,,113,,
,,,,,,114,248,,114,,,114,,
,,,,,,115,248,,115,,,115,,
,,,,,,116,248,,116,,,116,,
,,,,,,117,248,,117,,,117,,
,,,,,,118,248,,118,,,118,,
,,,,,,119,248,,119,,,119,,
,,,,,,120,248,,120,,,120,,
,,,,,,121,248,,121,,,121,,
,,,,,,122,248,,122,,,122,,
,,,,,,123,248,,123,,,123,,
,,,,,,124,248,,124,,,124,,
,,,,,,125,248,,125,,,125,,
,,,,,,126,248,,126,,,126,,
,,,,,,127,248,,127,,,127,,
,,,,,,128,248,,128,,,128,,
,,,,,,129,248,,129,,,129,,
,,,,,,130,248,,130,,,130,,
,,,,,,131,248,,131,,,131,,
,,,,,,132,248,,132,,,132,,
,,,,,,133,248,,133,,,133,,
,,,,,,134,248,,134,,,134,,
,,,,,,135,248,,135,,,135,,
,,,,,,136,248,,136,,,136,,
,,,,,,137,248,,137,,,137,,
,,,,,,138,248,,138,,,138,,
,,,,,,139,248,,139,,,139,,
,,,,,,140,248,,140,,,140,,
,,,,,,141,248,,141,,,141,,
,,,,,,142,248,,142,,,142,,
,,,,,,143,248,,143,,,143,,
,,,,,,144,248,,144,,,144,,
,,,,,,145,248,,145,,,145,,
,,,,,,146,248,,146,,,146,,
,,,,,,147,248,,147,,,147,,
,,,,,,148,248,,148,,,148,,
,,,,,,149,248,,149,,,149,,
,,,,,,150,248,,150,,,150,,
,,,,,,151,248,,151,,,151,,
,,,,,,152,248,,152,,,152,,
,,,,,,153,248,,153,,,153,,
,,,,,,154,248,,154,,,154,,
,,,,,,155,248,,155,,,155,,
,,,,,,156,248,,156,,,156,,
,,,,,,157,248,,157,,,157,,
,,,,,,158,248,,158,,,158,,
,,,,,,159,248,,159,,,159,,
,,,,,,160,248,,160,,,160,,
,,,,,,161,248,,161,,,161,,
,,,,,,162,248,,162,,,162,,
,,,,,,163,248,,163,,,163,,
,,,,,,164,248,,164,,,164,,
,,,,,,165,248,,165,,,165,,
,,,,,,166,248,,166,,,166,,
,,,,,,167,248,,167,,,167,,
,,,,,,168,248,,168,,,168,,
,,,,,,169,248,,169,,,169,,
,,,,,,170,248,,170,,,170,,
,,,,,,171,248,,171,,,171,,
,,,,,,172,248,,172,,,172,,
,,,,,,173,248,,173,,,173,,
,,,,,,174,248,,174,,,174,,
,,,,,,175,248,,175,,,175,,
,,,,,,176,248,,176,,,176,,
,,,,,,177,248,,177,,,177,,
,,,,,,178,248,,178,,,178,,
,,,,,,179,248,,179,,,179,,
,,,,,,180,248,,180,,,180,,
,,,,,,181,248,,181,,,181,,
,,,,,,182,248,,182,,,182,,
,,,,,,183,248,,183,,,183,,
,,,,,,184,248,,184,,,184,,
,,,,,,185,248,,185,,,185,,
,,,,,,186,248,,186,,,186,,
,,,,,,187,248,,187,,,187,,
,,,,,,188,248,,188,,,188,,
,,,,,,189,248,,189,,,189,,
,,,,,,190,248,,190,,,190,,
,,,,,,191,248,,191,,,191,,
,,,,,,192,248,,192,,,192,,
,,,,,,193,248,,193,,,193,,
,,,,,,194,248,,194,,,194,,
,,,,,,195,248,,195,,,195,,
,,,,,,196,248,,196,,,196,,
,,,,,,197,248,,197,,,197,,
,,,,,,198,248,,198,,,198,,
,,,,,,199,248,,199,0,,199,0,
,,,,,,200,248,,200,0,,200,0,
