a,Site & PA$,Time,Required,PA$,Game Name,Vanguard,Per Level,Per Range,CW,Per Level.1,Per Range.1,MW,Per Level.2,Per Range.2
,,,,,,119,334,,119,350,,119,491,
,,,,,,120,338,,120,354,,120,495,
,,,,,,121,342,,121,358,,121,499,
,,,,,,122,346,,122,362,,122,503,
,,,,,,123,350,,123,366,,123,507,
,,,,,,124,354,,124,370,,124,511,
,,,,,,125,358,,125,374,,125,515,
,,,,,,126,362,,126,378,,126,519,
,,,,,,127,366,,127,382,,127,523,
,,,,,,128,370,,128,386,,128,527,
,,,,,,129,374,,129,390,,129,531,
,,,,,,130,378,,130,394,,130,535,
,,,,,,131,382,,131,398,,131,539,
,,,,,,132,386,,132,402,,132,543,
,,,,,,133,390,,133,406,,133,547,
,,,,,,134,394,,134,410,,134,551,
,,,,,,135,398,,135,414,,135,555,
,,,,,,136,403,,136,419,,136,560,
,,,,,,137,408,,137,424,,137,565,
,,,,,,138,413,,138,429,,138,570,
,,,,,,139,418,,139,434,,139,575,
,,,,,,140,423,,140,439,,140,580,
,,,,,,141,428,,141,444,,141,585,
,,,,,,142,433,,142,449,,142,590,
,,,,,,143,438,,143,454,,143,595,
,,,,,,144,443,,144,459,,144,600,
,,,,,,145,448,,145,464,,145,605,
,,,,,,146,453,,146,469,,146,610,
,,,,,,147,458,,147,474,,147,615,
,,,,,,148,463,,148,479,,148,620,
,,,,,,149,468,,149,484,,149,625,
,,,,,,150,473,,150,489,,150,630,
,,,,,,151,478,,151,494,,151,635,
,,,,,,152,483,,152,499,,152,640,
,,,,,,153,488,,153,504,,153,645,
,,,,,,154,493,,154,509,,154,650,
,,,,,,155,498,,155,514,,155,655,
,,,,,,156,498,,156,514,,156,655,
,,,,,,157,498,,157,514,,157,655,
,,,,,,158,498,,158,514,,158,655,
,,,,,,159,498,,159,514,,159,655,
,,,,,,160,498,,160,514,,160,655,
,,,,,,161,498,,161,514,,161,655,
,,,,,,162,498,,162,514,,162,655,
,,,,,,163,498,,163,514,,163,655,
,,,,,,164,498,,164,514,,164,655,
,,,,,,165,498,,165,514,,165,655,
,,,,,,166,498,,166,514,,166,655,
,,,,,,167,498,,167,514,,167,655,
,,,,,,168,498,,168,514,,168,655,
,,,,,,169,498,,169,514,,169,655,
,,,,,,170,498,,170,514,,170,655,
,,,,,,171,498,,171,514,,171,655,
,,,,,,172,498,,172,514,,172,655,
,,,,,,173,498,,173,514,,173,655,
,,,,,,174,498,,174,514,,174,655,
,,,,,,175,498,,175,514,,175,655,
,,,,,,176,498,,176,514,,176,655,
,,,,,,177,498,,177,514,,177,655,
,,,,,,178,498,,178,514,,178,655,
,,,,,,179,498,,179,514,,179,655,
,,,,,,180,498,,180,514,,180,655,
,,,,,,181,498,,181,514,,181,655,
,,,,,,182,498,,182,514,,182,655,
,,,,,,183,498,,183,514,,183,655,
,,,,,,184,498,,184,514,,184,655,
,,,,,,185,498,,185,514,,185,655,
,,,,,,186,498,,186,514,,186,655,
,,,,,,187,498,,187,514,,187,655,
,,,,,,188,498,,188,514,,188,655,
,,,,,,189,498,,189,514,,189,655,
,,,,,,190,498,,190,514,,190,655,
,,,,,,191,498,,191,514,,191,655,
,,,,,,192,498,,192,514,,192,655,
,,,,,,193,498,,193,514,,193,655,
,,,,,,194,498,,194,514,,194,655,
,,,,,,195,498,,195,514,,195,655,
,,,,,,196,498,,196,514,,196,655,
,,,,,,197,498,,197,514,,197,655,
,,,,,,198,498,,198,514,,198,655,
,,,,,,199,498,,199,514,,199,655,
,,,,,,200,498,,200,514,,200,655,
