Unnamed: 0,PA$,Time,Required,Site$,Game Name,Level,Per Level,Per Range,xxx,Per Level.1,Per Range.1,xxx.1,Per Level.2,Per Range.2
Blacksmithing 300-375,166.4684899,2,Required: L55+ & Mount + TBC,140.0,L50+ 186 to 205 skill,12,12,,12,,,12,,
,,,,,L55+ 206 to 300 skill,13,13.5,,13,,,13,,
Engineering 1-300,89.17954816,2,Required: L55+ & Mount,75.0,,14,15,,14,,,14,,
Engineering 300-375,166.4684899,2,Required: L55+ & Mount + TBC,140.0,,15,16.5,,15,,,15,,
,,,,,,16,18,,16,,,16,,
Leatherworking 1-300,89.17954816,2,Required: L55+ & Mount,75.0,,17,19.5,,17,,,17,,
Leatherworking 300-375,166.4684899,2,Required: L55+ & Mount + TBC,140.0,,18,21,,18,,,18,,
,,,,,,19,22.5,,19,,,19,,
Tailoring 1-300,89.17954816,2,Required: L55+ & Mount,75.0,,20,24,,20,,,20,,
Tailoring 300-375,166.4684899,2,Required: L55+ & Mount + TBC,140.0,,21,26,,21,,,21,,
,,,,,,22,28,,22,,,22,,
Jewelcrafting 1-300,89.17954816,2,Required: L55+ & Mount,75.0,,23,30,,23,,,23,,
Jewelcrafting 300-375,166.4684899,2,Required: L55+ & Mount + TBC,140.0,,24,32,,24,,,24,,
,,,,,,25,34,,25,,,25,,
Enchanting 1-300,89.17954816,2,Required: L55+ & Mount,75.0,,26,36,,26,,,26,,
Enchanting 300-375,166.4684899,2,Required: L55+ & Mount + TBC,140.0,,27,38,,27,,,27,,
,,,,,,28,40,,28,,,28,,
▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬,,,,,,29,42,,29,,,29,,
,,,,,,30,44,,30,,,30,,
Quests & Miscellaneous,,,,,,31,46,,31,,,31,,
,,,,,,32,48,,32,,,32,,
Kalimdor Flight Paths Unlocked,35.67181926,2.5,Required: L55+ & Mount,30.0,,33,50,,33,,,33,,
Eastern Kingdoms Flight Paths Unlocked,35.67181926,2.5,Required: L55+ & Mount,30.0,,34,52,,34,,,34,,
Full Azeroth Flight Paths Unlocked,65.39833532,5,Required: L55+ & Mount,55.0,,35,54,,35,,,35,,
,,,,,,36,56.5,,36,,,36,,
Epic 100% Speed Mount,142.6872771,2,Required: L60,120.0,,37,59,,37,,,37,,
Paladin Redemption and Sense Undead Unlocking,41.61712247,2,,35.0,,38,61.5,,38,,,38,,
,,,,,,39,64,,39,,,39,,
Rhok'delar 4x Demon Kill,118.9060642,2,Required: Quest active,100.0,,40,66.5,,40,,,40,,
Benediction / Anathema,237.8121284,RNG,Required: L60,200.0,,41,69,,41,,,41,,
,,,,,,42,71.5,,42,,,42,,
▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬,,,,,,43,74,,43,,,43,,
,,,,,,44,76.5,,44,,,44,,
Reputation - Exalted*,,,,,,45,79,,45,,,45,,
,,,,,,46,84,,46,,,46,,
Stormwind / Orgrimmar,297.2651605,,Required: L60,250.0,,47,89,,47,,,47,,
Ironforge / Undercity,297.2651605,,Required: L60,250.0,,48,94,,48,,,48,,
Darnassus / Thunder Bluff,356.7181926,,Required: L60,300.0,,49,99,,49,,,49,,
Gnomeregan / Darkspear Trolls,297.2651605,,Required: L60,250.0,,50,104,,50,,,50,,
Ratchet,237.8121284,,Required: L60,200.0,,51,110,,51,,,51,,
Booty Bay,356.7181926,,Required: L60,300.0,,52,116,,52,,,52,,
Gadjetstan,416.1712247,,Required: L60,350.0,,53,122,,53,,,53,,
Everlook,475.6242568,,Required: L60,400.0,,54,128,,54,,,54,,
Gelkis / Magram Clan Centaur,237.8121284,,Required: L60,200.0,,55,134,,55,,,55,,
Argent Dawn,356.7181926,,Required: L60,300.0,,56,142,,56,,,56,,
Timbermaw Hold,356.7181926,,Required: L60,300.0,,57,150,,57,,,57,,
Hydraxian Waterlords,1545.778835,,Required: L60,1300.0,,58,158,,58,,,58,,
Zandalar Tribe,237.8121284,,Required: L60,200.0,,59,166,,59,,,59,,
Cenarion Circle,1664.684899,,Required: L60,1400.0,,60,174,,60,,,60,,
Brood of Nozdormu,2378.121284,,Required: L60,2000.0,,61,184,,61,,,61,,
Bloodsail Buccaneers,9512.485137,,Required: L60,8000.0,,62,194,,62,,,62,,
Thorium Brotherhood,356.7181926,,Required: L60,300.0,,63,204,,63,,,63,,
Shen'Dralar (Honored*),356.7181926,,Required: L60,300.0,,64,214,,64,,,64,,
Darkmoon Faire (Honored*),237.8121284,,Required: L60,200.0,,65,224,,65,,,65,,
,,,,,,66,237,,66,,,66,,
▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬,,,,,,67,250,,67,,,67,,
,,,,,,68,263,,68,,,68,,
Raid Attunement,,,,,,69,276,,69,,,69,,
,,,,,,70,289,,70,,,70,,
Molten Core Attunement,35.67181926,1,Required: L60,30.0,,71,303,,71,,,71,,
Onyxia Lair Attunement,89.17954816,1,Required: L60,75.0,,72,317,,72,,,72,,
Blackwing Lair Attunement,59.4530321,1,Required: L60,50.0,,73,331,,73,,,73,,
Seal of Ascension,71.34363853,2,Required: L58,60.0,,74,345,,74,,,74,,
Naxxramas Attunement ,154.5778835,5,Required: L60,130.0,,75,359,,75,,,75,,
Karazhan Attunement,166.4684899,5,Required: L70,140.0,,76,376,,76,,,76,,
,,,,,,77,393,,77,,,77,,
▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬,,,,,,78,410,,78,,,78,,
,,,,,,79,427,,79,,,79,,
Dungeon Attunements,,,,,,80,444,,80,,,80,,
,,,,,,81,444,,81,,,81,,
NM Attunement To Arcatraz,83.23424495,2,Required: L70,70.0,,82,444,,82,,,82,,
NM Attunement To The Black Morass,83.23424495,2,Required: L70,70.0,,83,444,,83,,,83,,
Shattered Halls Key,130.7966706,2,Required: L70,110.0,,84,444,,84,,,84,,
,,,,,,85,444,,85,,,85,,
Flamewrought key,118.9060642,5,Required: L70,100.0,,86,444,,86,,,86,,
Reservoir Key,118.9060642,5,Required: L70,100.0,,87,444,,87,,,87,,
Auchenai Key,118.9060642,5,Required: L70,100.0,,88,444,,88,,,88,,
Warpforget Key,118.9060642,5,Required: L70,100.0,,89,444,,89,,,89,,
Key of Time,118.9060642,5,Required: L70,100.0,,90,444,,90,,,90,,
,,,,,,91,444,,91,,,91,,
▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬,,,,,,92,444,,92,,,92,,
,,,,,,93,444,,93,,,93,,
Honor Farming (TBC Only),,,,,,94,444,,94,,,94,,
,,,,,,95,444,,95,,,95,,
5K Honor Points,29.72651605,0.5,Required: L60 & TBC,25.0,,96,444,,96,,,96,,
10K Honor Points,59.4530321,1,Required: L60 & TBC,50.0,,97,444,,97,,,97,,
15K Honor Points,89.17954816,2,Required: L60 & TBC,75.0,,98,444,,98,,,98,,
20K Honor Points,118.9060642,2,Required: L60 & TBC,100.0,,99,444,,99,,,99,,
25K Honor Points,148.6325803,2,Required: L60 & TBC,125.0,,100,444,,100,,,100,,
50K Honor Points,267.5386445,4,Required: L60 & TBC,225.0,,101,444,,101,,,101,,
75K Honor Points,356.7181926,6,Required: L60 & TBC,300.0,,102,444,,102,,,102,,
,,,,,,103,444,,103,,,103,,
▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬,,,,,,104,444,,104,,,104,,
,,,,,,105,444,,105,,,105,,
Gear ,,,,,,106,444,,106,,,106,,
,,,,,,107,444,,107,,,107,,
Dungeon Pre-Raid Gear,463.7336504,14,Required: L70,390.0,,108,444,,108,,,108,,
Tier 4 Raid BIS Gear Set,1307.966706,24,Required: L70,1100.0,,109,444,,109,,,109,,
,,,,,,110,444,,110,,,110,,
,,,,,,111,444,,111,,,111,,
,,,,,,112,444,,112,,,112,,
,,,,,,113,444,,113,,,113,,
,,,,,,114,444,,114,,,114,,
,,,,,,115,444,,115,,,115,,
,,,,,,116,444,,116,,,116,,
,,,,,,117,444,,117,,,117,,
,,,,,,118,444,,118,,,118,,
,,,,,,119,444,,119,,,119,,
,,,,,,120,444,,120,,,120,,
,,,,,,121,444,,121,,,121,,
,,,,,,122,444,,122,,,122,,
,,,,,,123,444,,123,,,123,,
,,,,,,124,444,,124,,,124,,
,,,,,,125,444,,125,,,125,,
,,,,,,126,444,,126,,,126,,
,,,,,,127,444,,127,,,127,,
,,,,,,128,444,,128,,,128,,
,,,,,,129,444,,129,,,129,,
,,,,,,130,444,,130,,,130,,
,,,,,,131,444,,131,,,131,,
,,,,,,132,444,,132,,,132,,
,,,,,,133,444,,133,,,133,,
,,,,,,134,444,,134,,,134,,
,,,,,,135,444,,135,,,135,,
,,,,,,136,444,,136,,,136,,
,,,,,,137,444,,137,,,137,,
,,,,,,138,444,,138,,,138,,
,,,,,,139,444,,139,,,139,,
,,,,,,140,444,,140,,,140,,
,,,,,,141,444,,141,,,141,,
,,,,,,142,444,,142,,,142,,
,,,,,,143,444,,143,,,143,,
,,,,,,144,444,,144,,,144,,
,,,,,,145,444,,145,,,145,,
,,,,,,146,444,,146,,,146,,
,,,,,,147,444,,147,,,147,,
,,,,,,148,444,,148,,,148,,
,,,,,,149,444,,149,,,149,,
,,,,,,150,444,,150,,,150,,
,,,,,,151,444,,151,,,151,,
,,,,,,152,444,,152,,,152,,
,,,,,,153,444,,153,,,153,,
,,,,,,154,444,,154,,,154,,
,,,,,,155,444,,155,,,155,,
,,,,,,156,444,,156,,,156,,
,,,,,,157,444,,157,,,157,,
,,,,,,158,444,,158,,,158,,
,,,,,,159,444,,159,,,159,,
,,,,,,160,444,,160,,,160,,
,,,,,,161,444,,161,,,161,,
,,,,,,162,444,,162,,,162,,
,,,,,,163,444,,163,,,163,,
,,,,,,164,444,,164,,,164,,
,,,,,,165,444,,165,,,165,,
,,,,,,166,444,,166,,,166,,
,,,,,,167,444,,167,,,167,,
,,,,,,168,444,,168,,,168,,
,,,,,,169,444,,169,,,169,,
,,,,,,170,444,,170,,,170,,
,,,,,,171,444,,171,,,171,,
,,,,,,172,444,,172,,,172,,
,,,,,,173,444,,173,,,173,,
,,,,,,174,444,,174,,,174,,
,,,,,,175,444,,175,,,175,,
,,,,,,176,444,,176,,,176,,
,,,,,,177,444,,177,,,177,,
,,,,,,178,444,,178,,,178,,
,,,,,,179,444,,179,,,179,,
,,,,,,180,444,,180,,,180,,
,,,,,,181,444,,181,,,181,,
,,,,,,182,444,,182,,,182,,
,,,,,,183,444,,183,,,183,,
,,,,,,184,444,,184,,,184,,
,,,,,,185,444,,185,,,185,,
,,,,,,186,444,,186,,,186,,
,,,,,,187,444,,187,,,187,,
,,,,,,188,444,,188,,,188,,
,,,,,,189,444,,189,,,189,,
,,,,,,190,444,,190,,,190,,
,,,,,,191,444,,191,,,191,,
,,,,,,192,444,,192,,,192,,
,,,,,,193,444,,193,,,193,,
,,,,,,194,444,,194,,,194,,
,,,,,,195,444,,195,,,195,,
,,,,,,196,444,,196,,,196,,
,,,,,,197,444,,197,,,197,,
,,,,,,198,444,,198,,,198,,
,,,,,,199,444,,199,0,,199,0,
,,,,,,200,444,,200,0,,200,0,
