Unnamed: 0,PA$,Time,Required,Site$,Game Name,Level,Per Level,Per Range,xxx,Per Level.1,Per Range.1,xxx.1,Per Level.2,Per Range.2
,,,,,,19,22.5,,19,,,19,,
,,,,,,20,24,,20,,,20,,
,,,,,,21,26,,21,,,21,,
,,,,,,22,28,,22,,,22,,
,,,,,,23,30,,23,,,23,,
,,,,,,24,32,,24,,,24,,
,,,,,,25,34,,25,,,25,,
,,,,,,26,36,,26,,,26,,
,,,,,,27,38,,27,,,27,,
,,,,,,28,40,,28,,,28,,
,,,,,,29,42,,29,,,29,,
,,,,,,30,44,,30,,,30,,
,,,,,,31,47,,31,,,31,,
,,,,,,32,50,,32,,,32,,
,,,,,,33,53,,33,,,33,,
,,,,,,34,56,,34,,,34,,
,,,,,,35,59,,35,,,35,,
,,,,,,36,62,,36,,,36,,
,,,,,,37,65,,37,,,37,,
,,,,,,38,68,,38,,,38,,
,,,,,,39,71,,39,,,39,,
,,,,,,40,74,,40,,,40,,
,,,,,,41,77,,41,,,41,,
,,,,,,42,80,,42,,,42,,
,,,,,,43,83,,43,,,43,,
,,,,,,44,86,,44,,,44,,
,,,,,,45,89,,45,,,45,,
,,,,,,46,94,,46,,,46,,
,,,,,,47,99,,47,,,47,,
,,,,,,48,104,,48,,,48,,
,,,,,,49,109,,49,,,49,,
,,,,,,50,114,,50,,,50,,
,,,,,,51,120,,51,,,51,,
,,,,,,52,126,,52,,,52,,
,,,,,,53,132,,53,,,53,,
,,,,,,54,138,,54,,,54,,
,,,,,,55,144,,55,,,55,,
,,,,,,56,152,,56,,,56,,
,,,,,,57,160,,57,,,57,,
,,,,,,58,168,,58,,,58,,
,,,,,,59,176,,59,,,59,,
,,,,,,60,184,,60,,,60,,
,,,,,,61,184,,61,,,61,,
,,,,,,62,184,,62,,,62,,
,,,,,,63,184,,63,,,63,,
,,,,,,64,184,,64,,,64,,
,,,,,,65,184,,65,,,65,,
,,,,,,66,184,,66,,,66,,
,,,,,,67,184,,67,,,67,,
,,,,,,68,184,,68,,,68,,
,,,,,,69,184,,69,,,69,,
,,,,,,70,184,,70,,,70,,
,,,,,,71,184,,71,,,71,,
,,,,,,72,184,,72,,,72,,
,,,,,,73,184,,73,,,73,,
,,,,,,74,184,,74,,,74,,
,,,,,,75,184,,75,,,75,,
,,,,,,76,184,,76,,,76,,
,,,,,,77,184,,77,,,77,,
,,,,,,78,184,,78,,,78,,
,,,,,,79,184,,79,,,79,,
,,,,,,80,184,,80,,,80,,
,,,,,,81,184,,81,,,81,,
,,,,,,82,184,,82,,,82,,
,,,,,,83,184,,83,,,83,,
,,,,,,84,184,,84,,,84,,
,,,,,,85,184,,85,,,85,,
,,,,,,86,184,,86,,,86,,
,,,,,,87,184,,87,,,87,,
,,,,,,88,184,,88,,,88,,
,,,,,,89,184,,89,,,89,,
,,,,,,90,184,,90,,,90,,
,,,,,,91,184,,91,,,91,,
,,,,,,92,184,,92,,,92,,
,,,,,,93,184,,93,,,93,,
,,,,,,94,184,,94,,,94,,
,,,,,,95,184,,95,,,95,,
,,,,,,96,184,,96,,,96,,
,,,,,,97,184,,97,,,97,,
,,,,,,98,184,,98,,,98,,
,,,,,,99,184,,99,,,99,,
,,,,,,100,184,,100,,,100,,
,,,,,,101,184,,101,,,101,,
,,,,,,102,184,,102,,,102,,
,,,,,,103,184,,103,,,103,,
,,,,,,104,184,,104,,,104,,
,,,,,,105,184,,105,,,105,,
,,,,,,106,184,,106,,,106,,
,,,,,,107,184,,107,,,107,,
,,,,,,108,184,,108,,,108,,
,,,,,,109,184,,109,,,109,,
,,,,,,110,184,,110,,,110,,
,,,,,,111,184,,111,,,111,,
,,,,,,112,184,,112,,,112,,
,,,,,,113,184,,113,,,113,,
,,,,,,114,184,,114,,,114,,
,,,,,,115,184,,115,,,115,,
,,,,,,116,184,,116,,,116,,
,,,,,,117,184,,117,,,117,,
,,,,,,118,184,,118,,,118,,
,,,,,,119,184,,119,,,119,,
,,,,,,120,184,,120,,,120,,
,,,,,,121,184,,121,,,121,,
,,,,,,122,184,,122,,,122,,
,,,,,,123,184,,123,,,123,,
,,,,,,124,184,,124,,,124,,
,,,,,,125,184,,125,,,125,,
,,,,,,126,184,,126,,,126,,
,,,,,,127,184,,127,,,127,,
,,,,,,128,184,,128,,,128,,
,,,,,,129,184,,129,,,129,,
,,,,,,130,184,,130,,,130,,
,,,,,,131,184,,131,,,131,,
,,,,,,132,184,,132,,,132,,
,,,,,,133,184,,133,,,133,,
,,,,,,134,184,,134,,,134,,
,,,,,,135,184,,135,,,135,,
,,,,,,136,184,,136,,,136,,
,,,,,,137,184,,137,,,137,,
,,,,,,138,184,,138,,,138,,
,,,,,,139,184,,139,,,139,,
,,,,,,140,184,,140,,,140,,
,,,,,,141,184,,141,,,141,,
,,,,,,142,184,,142,,,142,,
,,,,,,143,184,,143,,,143,,
,,,,,,144,184,,144,,,144,,
,,,,,,145,184,,145,,,145,,
,,,,,,146,184,,146,,,146,,
,,,,,,147,184,,147,,,147,,
,,,,,,148,184,,148,,,148,,
,,,,,,149,184,,149,,,149,,
,,,,,,150,184,,150,,,150,,
,,,,,,151,184,,151,,,151,,
,,,,,,152,184,,152,,,152,,
,,,,,,153,184,,153,,,153,,
,,,,,,154,184,,154,,,154,,
,,,,,,155,184,,155,,,155,,
,,,,,,156,184,,156,,,156,,
,,,,,,157,184,,157,,,157,,
,,,,,,158,184,,158,,,158,,
,,,,,,159,184,,159,,,159,,
,,,,,,160,184,,160,,,160,,
,,,,,,161,184,,161,,,161,,
,,,,,,162,184,,162,,,162,,
,,,,,,163,184,,163,,,163,,
,,,,,,164,184,,164,,,164,,
,,,,,,165,184,,165,,,165,,
,,,,,,166,184,,166,,,166,,
,,,,,,167,184,,167,,,167,,
,,,,,,168,184,,168,,,168,,
,,,,,,169,184,,169,,,169,,
,,,,,,170,184,,170,,,170,,
,,,,,,171,184,,171,,,171,,
,,,,,,172,184,,172,,,172,,
,,,,,,173,184,,173,,,173,,
,,,,,,174,184,,174,,,174,,
,,,,,,175,184,,175,,,175,,
,,,,,,176,184,,176,,,176,,
,,,,,,177,184,,177,,,177,,
,,,,,,178,184,,178,,,178,,
,,,,,,179,184,,179,,,179,,
,,,,,,180,184,,180,,,180,,
,,,,,,181,184,,181,,,181,,
,,,,,,182,184,,182,,,182,,
,,,,,,183,184,,183,,,183,,
,,,,,,184,184,,184,,,184,,
,,,,,,185,184,,185,,,185,,
,,,,,,186,184,,186,,,186,,
,,,,,,187,184,,187,,,187,,
,,,,,,188,184,,188,,,188,,
,,,,,,189,184,,189,,,189,,
,,,,,,190,184,,190,,,190,,
,,,,,,191,184,,191,,,191,,
,,,,,,192,184,,192,,,192,,
,,,,,,193,184,,193,,,193,,
,,,,,,194,184,,194,,,194,,
,,,,,,195,184,,195,,,195,,
,,,,,,196,184,,196,,,196,,
,,,,,,197,184,,197,,,197,,
,,,,,,198,184,,198,,,198,,
,,,,,,199,184,,199,0,,199,0,
,,,,,,200,184,,200,0,,200,0,
