Unnamed: 0,Site$,Time,Required,PA$,Game Name,xxx,Per Level,Per Range,Ranked,perDiv,perPoint,RPMin,RPDiff
,,,,,,75,,,9000,0.1142857143,11.42857143,534.7142857,
,,,,,,76,,,9100,0.1142857143,11.42857143,546.1428571,
,,,,,,77,,,9200,0.1142857143,11.42857143,557.5714286,
,,,,,,78,,,9300,0.1285714286,12.85714286,569,
,,,,,,79,,,9400,0.1285714286,12.85714286,581.8571429,
,,,,,,80,,,9500,0.1285714286,12.85714286,594.7142857,
,,,,,,81,,,9600,0.1285714286,12.85714286,607.5714286,
,,,,,,82,,,9700,0.1285714286,12.85714286,620.4285714,
,,,,,,83,,,9800,0.1285714286,12.85714286,633.2857143,
,,,,,,84,,,9900,0.1285714286,12.85714286,646.1428571,
,,,,,,85,,,10000,$ -,,659,
,,,,,,86,,,,,,,
,,,,,,87,,,,,,,
,,,,,,88,,,,,,,
,,,,,,89,,,,,,,
,,,,,,90,,,,,,,
,,,,,,91,,,,,,,
,,,,,,92,,,,,,,
,,,,,,93,,,,,,,
,,,,,,94,,,,,,,
,,,,,,95,,,,,,,
,,,,,,96,,,,,,,
,,,,,,97,,,,,,,
,,,,,,98,,,,,,,
,,,,,,99,,,,,,,
,,,,,,100,,,,,,,
,,,,,,101,,,,,,,
,,,,,,102,,,,,,,
,,,,,,103,,,,,,,
,,,,,,104,,,,,,,
,,,,,,105,,,,,,,
,,,,,,106,,,,,,,
,,,,,,107,,,,,,,
,,,,,,108,,,,,,,
,,,,,,109,,,,,,,
,,,,,,110,,,,,,,
,,,,,,111,,,,,,,
,,,,,,112,,,,,,,
,,,,,,113,,,,,,,
,,,,,,114,,,,,,,
,,,,,,115,,,,,,,
,,,,,,116,,,,,,,
,,,,,,117,,,,,,,
,,,,,,118,,,,,,,
,,,,,,119,,,,,,,
,,,,,,120,,,,,,,
,,,,,,121,,,,,,,
,,,,,,122,,,,,,,
,,,,,,123,,,,,,,
,,,,,,124,,,,,,,
,,,,,,125,,,,,,,
,,,,,,126,,,,,,,
,,,,,,127,,,,,,,
,,,,,,128,,,,,,,
,,,,,,129,,,,,,,
,,,,,,130,,,,,,,
,,,,,,131,,,,,,,
,,,,,,132,,,,,,,
,,,,,,133,,,,,,,
,,,,,,134,,,,,,,
,,,,,,135,,,,,,,
,,,,,,136,,,,,,,
,,,,,,137,,,,,,,
,,,,,,138,,,,,,,
,,,,,,139,,,,,,,
,,,,,,140,,,,,,,
,,,,,,141,,,,,,,
,,,,,,142,,,,,,,
,,,,,,143,,,,,,,
,,,,,,144,,,,,,,
,,,,,,145,,,,,,,
,,,,,,146,,,,,,,
,,,,,,147,,,,,,,
,,,,,,148,,,,,,,
,,,,,,149,,,,,,,
,,,,,,150,,,,,,,
,,,,,,151,,,,,,,
,,,,,,152,,,,,,,
,,,,,,153,,,,,,,
,,,,,,154,,,,,,,
,,,,,,155,,,,,,,
,,,,,,156,,,,,,,
,,,,,,157,,,,,,,
,,,,,,158,,,,,,,
,,,,,,159,,,,,,,
,,,,,,160,,,,,,,
,,,,,,161,,,,,,,
,,,,,,162,,,,,,,
,,,,,,163,,,,,,,
,,,,,,164,,,,,,,
,,,,,,165,,,,,,,
,,,,,,166,,,,,,,
,,,,,,167,,,,,,,
,,,,,,168,,,,,,,
,,,,,,169,,,,,,,
,,,,,,170,,,,,,,
,,,,,,171,,,,,,,
,,,,,,172,,,,,,,
,,,,,,173,,,,,,,
,,,,,,174,,,,,,,
,,,,,,175,,,,,,,
,,,,,,176,,,,,,,
,,,,,,177,,,,,,,
,,,,,,178,,,,,,,
,,,,,,179,,,,,,,
,,,,,,180,,,,,,,
,,,,,,181,,,,,,,
,,,,,,182,,,,,,,
,,,,,,183,,,,,,,
,,,,,,184,,,,,,,
,,,,,,185,,,,,,,
,,,,,,186,,,,,,,
,,,,,,187,,,,,,,
,,,,,,188,,,,,,,
,,,,,,189,,,,,,,
,,,,,,190,,,,,,,
,,,,,,191,,,,,,,
,,,,,,192,,,,,,,
,,,,,,193,,,,,,,
,,,,,,194,,,,,,,
,,,,,,195,,,,,,,
,,,,,,196,,,,,,,
,,,,,,197,,,,,,,
,,,,,,198,,,,,,,
,,,,,,199,0,,,,,,
,,,,,,200,0,,,,,,
