Unnamed: 0,PA$,Time,Required,Site$,Game Name,Level,Per Level,Per Range,xxx,Per Level.1,Per Range.1,xxx.1,Per Level.2,Per Range.2
,,,,,L45+ 126 to 185 skill,11,10.5,,11,,,11,,
Leatherworking 1-300,89.17954816,2.0,Required: L55+ & Mount,75.0,L50+ 186 to 205 skill,12,12,,12,,,12,,
Leatherworking 300-375,166.4684899,2.0,Required: L55+ & Mount + TBC,140.0,L55+ 206 to 300 skill,13,13.5,,13,,,13,,
,,,,,,14,15,,14,,,14,,
Tailoring 1-300,89.17954816,2.0,Required: L55+ & Mount,75.0,,15,16.5,,15,,,15,,
Tailoring 300-375,166.4684899,2.0,Required: L55+ & Mount + TBC,140.0,,16,18,,16,,,16,,
,,,,,,17,19.5,,17,,,17,,
Jewelcrafting 1-300,89.17954816,2.0,Required: L55+ & Mount,75.0,,18,21,,18,,,18,,
Jewelcrafting 300-375,166.4684899,2.0,Required: L55+ & Mount + TBC,140.0,,19,22.5,,19,,,19,,
,,,,,,20,24,,20,,,20,,
Enchanting 1-300,89.17954816,2.0,Required: L55+ & Mount,75.0,,21,26,,21,,,21,,
Enchanting 300-375,166.4684899,2.0,Required: L55+ & Mount + TBC,140.0,,22,28,,22,,,22,,
,,,,,,23,30,,23,,,23,,
,,,,,,24,32,,24,,,24,,
,,,,,,25,34,,25,,,25,,
,,,,,,26,36,,26,,,26,,
,,,,,,27,38,,27,,,27,,
,,,,,,28,40,,28,,,28,,
,,,,,,29,42,,29,,,29,,
,,,,,,30,44,,30,,,30,,
,,,,,,31,46,,31,,,31,,
,,,,,,32,48,,32,,,32,,
,,,,,,33,50,,33,,,33,,
,,,,,,34,52,,34,,,34,,
,,,,,,35,54,,35,,,35,,
,,,,,,36,56,,36,,,36,,
,,,,,,37,58,,37,,,37,,
,,,,,,38,60,,38,,,38,,
,,,,,,39,62,,39,,,39,,
,,,,,,40,64,,40,,,40,,
,,,,,,41,66,,41,,,41,,
,,,,,,42,68,,42,,,42,,
,,,,,,43,70,,43,,,43,,
,,,,,,44,72,,44,,,44,,
,,,,,,45,74,,45,,,45,,
,,,,,,46,77,,46,,,46,,
,,,,,,47,80,,47,,,47,,
,,,,,,48,83,,48,,,48,,
,,,,,,49,86,,49,,,49,,
,,,,,,50,89,,50,,,50,,
,,,,,,51,93,,51,,,51,,
,,,,,,52,97,,52,,,52,,
,,,,,,53,101,,53,,,53,,
,,,,,,54,105,,54,,,54,,
,,,,,,55,109,,55,,,55,,
,,,,,,56,115,,56,,,56,,
,,,,,,57,121,,57,,,57,,
,,,,,,58,127,,58,,,58,,
,,,,,,59,133,,59,,,59,,
,,,,,,60,139,,60,,,60,,
,,,,,,61,147,,61,,,61,,
,,,,,,62,155,,62,,,62,,
,,,,,,63,163,,63,,,63,,
,,,,,,64,171,,64,,,64,,
,,,,,,65,179,,65,,,65,,
,,,,,,66,188,,66,,,66,,
,,,,,,67,197,,67,,,67,,
,,,,,,68,206,,68,,,68,,
,,,,,,69,215,,69,,,69,,
,,,,,,70,224,,70,,,70,,
,,,,,,71,224,,71,,,71,,
,,,,,,72,224,,72,,,72,,
,,,,,,73,224,,73,,,73,,
,,,,,,74,224,,74,,,74,,
,,,,,,75,224,,75,,,75,,
,,,,,,76,224,,76,,,76,,
,,,,,,77,224,,77,,,77,,
,,,,,,78,224,,78,,,78,,
,,,,,,79,224,,79,,,79,,
,,,,,,80,224,,80,,,80,,
,,,,,,81,224,,81,,,81,,
,,,,,,82,224,,82,,,82,,
,,,,,,83,224,,83,,,83,,
,,,,,,84,224,,84,,,84,,
,,,,,,85,224,,85,,,85,,
,,,,,,86,224,,86,,,86,,
,,,,,,87,224,,87,,,87,,
,,,,,,88,224,,88,,,88,,
,,,,,,89,224,,89,,,89,,
,,,,,,90,224,,90,,,90,,
,,,,,,91,224,,91,,,91,,
,,,,,,92,224,,92,,,92,,
,,,,,,93,224,,93,,,93,,
,,,,,,94,224,,94,,,94,,
,,,,,,95,224,,95,,,95,,
,,,,,,96,224,,96,,,96,,
,,,,,,97,224,,97,,,97,,
,,,,,,98,224,,98,,,98,,
,,,,,,99,224,,99,,,99,,
,,,,,,100,224,,100,,,100,,
,,,,,,101,224,,101,,,101,,
,,,,,,102,224,,102,,,102,,
,,,,,,103,224,,103,,,103,,
,,,,,,104,224,,104,,,104,,
,,,,,,105,224,,105,,,105,,
,,,,,,106,224,,106,,,106,,
,,,,,,107,224,,107,,,107,,
,,,,,,108,224,,108,,,108,,
,,,,,,109,224,,109,,,109,,
,,,,,,110,224,,110,,,110,,
,,,,,,111,224,,111,,,111,,
,,,,,,112,224,,112,,,112,,
,,,,,,113,224,,113,,,113,,
,,,,,,114,224,,114,,,114,,
,,,,,,115,224,,115,,,115,,
,,,,,,116,224,,116,,,116,,
,,,,,,117,224,,117,,,117,,
,,,,,,118,224,,118,,,118,,
,,,,,,119,224,,119,,,119,,
,,,,,,120,224,,120,,,120,,
,,,,,,121,224,,121,,,121,,
,,,,,,122,224,,122,,,122,,
,,,,,,123,224,,123,,,123,,
,,,,,,124,224,,124,,,124,,
,,,,,,125,224,,125,,,125,,
,,,,,,126,224,,126,,,126,,
,,,,,,127,224,,127,,,127,,
,,,,,,128,224,,128,,,128,,
,,,,,,129,224,,129,,,129,,
,,,,,,130,224,,130,,,130,,
,,,,,,131,224,,131,,,131,,
,,,,,,132,224,,132,,,132,,
,,,,,,133,224,,133,,,133,,
,,,,,,134,224,,134,,,134,,
,,,,,,135,224,,135,,,135,,
,,,,,,136,224,,136,,,136,,
,,,,,,137,224,,137,,,137,,
,,,,,,138,224,,138,,,138,,
,,,,,,139,224,,139,,,139,,
,,,,,,140,224,,140,,,140,,
,,,,,,141,224,,141,,,141,,
,,,,,,142,224,,142,,,142,,
,,,,,,143,224,,143,,,143,,
,,,,,,144,224,,144,,,144,,
,,,,,,145,224,,145,,,145,,
,,,,,,146,224,,146,,,146,,
,,,,,,147,224,,147,,,147,,
,,,,,,148,224,,148,,,148,,
,,,,,,149,224,,149,,,149,,
,,,,,,150,224,,150,,,150,,
,,,,,,151,224,,151,,,151,,
,,,,,,152,224,,152,,,152,,
,,,,,,153,224,,153,,,153,,
,,,,,,154,224,,154,,,154,,
,,,,,,155,224,,155,,,155,,
,,,,,,156,224,,156,,,156,,
,,,,,,157,224,,157,,,157,,
,,,,,,158,224,,158,,,158,,
,,,,,,159,224,,159,,,159,,
,,,,,,160,224,,160,,,160,,
,,,,,,161,224,,161,,,161,,
,,,,,,162,224,,162,,,162,,
,,,,,,163,224,,163,,,163,,
,,,,,,164,224,,164,,,164,,
,,,,,,165,224,,165,,,165,,
,,,,,,166,224,,166,,,166,,
,,,,,,167,224,,167,,,167,,
,,,,,,168,224,,168,,,168,,
,,,,,,169,224,,169,,,169,,
,,,,,,170,224,,170,,,170,,
,,,,,,171,224,,171,,,171,,
,,,,,,172,224,,172,,,172,,
,,,,,,173,224,,173,,,173,,
,,,,,,174,224,,174,,,174,,
,,,,,,175,224,,175,,,175,,
,,,,,,176,224,,176,,,176,,
,,,,,,177,224,,177,,,177,,
,,,,,,178,224,,178,,,178,,
,,,,,,179,224,,179,,,179,,
,,,,,,180,224,,180,,,180,,
,,,,,,181,224,,181,,,181,,
,,,,,,182,224,,182,,,182,,
,,,,,,183,224,,183,,,183,,
,,,,,,184,224,,184,,,184,,
,,,,,,185,224,,185,,,185,,
,,,,,,186,224,,186,,,186,,
,,,,,,187,224,,187,,,187,,
,,,,,,188,224,,188,,,188,,
,,,,,,189,224,,189,,,189,,
,,,,,,190,224,,190,,,190,,
,,,,,,191,224,,191,,,191,,
,,,,,,192,224,,192,,,192,,
,,,,,,193,224,,193,,,193,,
,,,,,,194,224,,194,,,194,,
,,,,,,195,224,,195,,,195,,
,,,,,,196,224,,196,,,196,,
,,,,,,197,224,,197,,,197,,
,,,,,,198,224,,198,,,198,,
,,,,,,199,224,,199,0,,199,0,
,,,,,,200,224,,200,0,,200,0,
