Unnamed: 0,Site$,Time,Required,PA$,Game Name,Level,Per Level,Per Range,xxx,Per Level.1,Per Range.1,xxx.1,Per Level.2,Per Range.2
Sanguine Depths,20.0,2,Requires: Level 60,23.78121284,,10,9,,10,,,10,,
,,,,,,11,10,,11,,,11,,
Normal 8 Dungeon Pack ,60.0,24,Requires: Level 60,71.34363853,,12,11,,12,,,12,,
,,,,,,13,12,,13,,,13,,
The Necrotic Wake,15.0,2,Requires: Level 60,17.83590963,,14,13,,14,,,14,,
Plaguefall,15.0,2,Requires: Level 60,17.83590963,,15,14,,15,,,15,,
Mists of Tirna Scithe,15.0,2,Requires: Level 60,17.83590963,,16,15,,16,,,16,,
Halls of Atonement,15.0,2,Requires: Level 60,17.83590963,,17,16,,17,,,17,,
Theater of Pain,15.0,2,Requires: Level 60,17.83590963,,18,17,,18,,,18,,
De Other Side,15.0,2,Requires: Level 60,17.83590963,,19,18,,19,,,19,,
Spires of Ascension,15.0,2,Requires: Level 60,17.83590963,,20,19,,20,,,20,,
Sanguine Depths,15.0,2,Requires: Level 60,17.83590963,,21,20,,21,,,21,,
,,,,,,22,21,,22,,,22,,
Castle Nathria Raid Run,,,,,,23,22,,23,,,23,,
,,,,,,24,23,,24,,,24,,
Heroic Raid Run,350.0,Time Varies,Requires: Level 60,416.1712247,,25,24,,25,,,25,,
Normal Raid Run,130.0,Time Varies,Requires: Level 60,154.5778835,,26,25,,26,,,26,,
,,,,,,27,26,,27,,,27,,
▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬,,,,,,28,27,,28,,,28,,
,,,,,,29,28,,29,,,29,,
Castle Nathria Normal Full Gear,,,,,,30,29,,30,,,30,,
,,,,,,31,30,,31,,,31,,
Normal Full Gear ilvl 200/207,400.0,120,Requires: Level 60,475.6242568,,32,31,,32,,,32,,
,,,,,,33,32,,33,,,33,,
Castle Nathria Heroic Full Gear,,,,,,34,33,,34,,,34,,
,,,,,,35,34,,35,,,35,,
Heroic Full Gear ilvl 213/220,700.0,150,Requires: Level 60,832.3424495,,36,35,,36,,,36,,
,,,,,,37,36,,37,,,37,,
▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬,,,,,,38,37,,38,,,38,,
,,,,,,39,38,,39,,,39,,
Keystones,,,,,,40,39,,40,,,40,,
,,,,,,41,41,,41,,,41,,
Keystone Master: Season One,1000.0,2 Weeks,Requires: Level 60,1189.060642,,42,43,,42,,,42,,
Keystone Conqueror: Season One,400.0,2 Weeks,Requires: Level 60,475.6242568,,43,45,,43,,,43,,
,,,,,,44,47,,44,,,44,,
▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬,,,,,,45,49,,45,,,45,,
,,,,,,46,51,,46,,,46,,
Thorgast Tower,,,,,,47,53,,47,,,47,,
,,,,,,48,55,,48,,,48,,
Layer 1 (x120 Soul Ashes),13.0,24,"Requires: L60 ilvl 150, Maw and Torghast unlocked",15.45778835,,49,57,,49,,,49,,
Layer 2 (x100 Soul Ashes),16.0,24,"Requires: L60 ilvl 150, Maw and Torghast unlocked",19.02497027,,50,59,,50,,,50,,
Layer 3 (x85 Soul Ashes),20.0,24,"Requires: L60 ilvl 160, Maw and Torghast unlocked",23.78121284,,51,61,,51,,,51,,
Layer 4 (x70 Soul Ashes),30.0,24,"Requires: L60 ilvl 190, Maw and Torghast unlocked",35.67181926,,52,63,,52,,,52,,
Layer 5 (x60 Soul Ashes),35.0,24,"Requires: L60 ilvl 190, Maw and Torghast unlocked",41.61712247,,53,65,,53,,,53,,
Layer 6 (x50 Soul Ashes),42.0,24,"Requires: L60 ilvl 190, Maw and Torghast unlocked",49.94054697,,54,67,,54,,,54,,
Corridor Creeper Unlock,280.0,1 Week,,332.9369798,,55,69,,55,,,55,,
,,,,,,56,71,,56,,,56,,
▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬,,,,,,57,73,,57,,,57,,
,,,,,,58,75,,58,,,58,,
Gear Boost up to 200 ilvl,,,,,,59,77,,59,,,59,,
,,,,,,60,79,,60,,,60,,
Total 160 ilvl,55.0,24,"Requires: L60, Location story Completed, Covenant selected",65.39833532,,61,82,,61,,,61,,
Total 175 ilvl,130.0,72,"Requires: L60, Location story Completed, Covenant selected",154.5778835,,62,85,,62,,,62,,
Total 180 ilvl,180.0,1 Week,"Requires: L60, Location story Completed, Covenant selected",214.0309156,,63,88,,63,,,63,,
Total 190 ilvl,250.0,1 Week,"Requires: L60, Location story Completed, Covenant selected",297.2651605,,64,91,,64,,,64,,
Total 200 ilvl,320.0,1 Week,"Requires: L60, Location story Completed, Covenant selected",380.4994055,,65,94,,65,,,65,,
,,,,,,66,98,,66,,,66,,
▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬,,,,,,67,102,,67,,,67,,
,,,,,,68,106,,68,,,68,,
Covenant Campaign Completion,,,,,,69,110,,69,,,69,,
,,,,,,70,114,,70,,,70,,
Kyrian,250.0,8 Weeks,Requires: Level 60,297.2651605,,71,114,,71,,,71,,
Night Fae,250.0,8 Weeks,Requires: Level 60,297.2651605,,72,114,,72,,,72,,
Necrolords,250.0,8 Weeks,Requires: Level 60,297.2651605,,73,114,,73,,,73,,
Venthyr,250.0,8 Weeks,Requires: Level 60,297.2651605,,74,114,,74,,,74,,
,,,,,,75,114,,75,,,75,,
▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬,,,,,,76,114,,76,,,76,,
,,,,,,77,114,,77,,,77,,
Venari Repution Boost,,,,,,78,114,,78,,,78,,
,,,,,,79,114,,79,,,79,,
Ambivalent,45.0,4 Weeks,Requires: Level 60,53.50772889,,80,114,,80,,,80,,
Cordial,65.0,4 Weeks,Requires: Level 60,77.28894174,,81,114,,81,,,81,,
Appreciative,110.0,4 Weeks,Requires: Level 60,130.7966706,,82,114,,82,,,82,,
,,,,,,83,114,,83,,,83,,
▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬,,,,,,84,114,,84,,,84,,
,,,,,,85,114,,85,,,85,,
Mounts,,,,,,86,114,,86,,,86,,
,,,,,,87,114,,87,,,87,,
Glory of the Narthia Raider + Rampart Screecher,200.0,24,Requires: Level 60,237.8121284,,88,114,,88,,,88,,
Corridor Creeper Unlock,280.0,1 Week,Requires: Level 60,332.9369798,,89,114,,89,,,89,,
,,,,,,90,114,,90,,,90,,
,,,,,,91,114,,91,,,91,,
,,,,,,92,114,,92,,,92,,
,,,,,,93,114,,93,,,93,,
,,,,,,94,114,,94,,,94,,
,,,,,,95,114,,95,,,95,,
,,,,,,96,114,,96,,,96,,
,,,,,,97,114,,97,,,97,,
,,,,,,98,114,,98,,,98,,
,,,,,,99,114,,99,,,99,,
,,,,,,100,114,,100,,,100,,
,,,,,,101,114,,101,,,101,,
,,,,,,102,114,,102,,,102,,
,,,,,,103,114,,103,,,103,,
,,,,,,104,114,,104,,,104,,
,,,,,,105,114,,105,,,105,,
,,,,,,106,114,,106,,,106,,
,,,,,,107,114,,107,,,107,,
,,,,,,108,114,,108,,,108,,
,,,,,,109,114,,109,,,109,,
,,,,,,110,114,,110,,,110,,
,,,,,,111,114,,111,,,111,,
,,,,,,112,114,,112,,,112,,
,,,,,,113,114,,113,,,113,,
,,,,,,114,114,,114,,,114,,
,,,,,,115,114,,115,,,115,,
,,,,,,116,114,,116,,,116,,
,,,,,,117,114,,117,,,117,,
,,,,,,118,114,,118,,,118,,
,,,,,,119,114,,119,,,119,,
,,,,,,120,114,,120,,,120,,
,,,,,,121,114,,121,,,121,,
,,,,,,122,114,,122,,,122,,
,,,,,,123,114,,123,,,123,,
,,,,,,124,114,,124,,,124,,
,,,,,,125,114,,125,,,125,,
,,,,,,126,114,,126,,,126,,
,,,,,,127,114,,127,,,127,,
,,,,,,128,114,,128,,,128,,
,,,,,,129,114,,129,,,129,,
,,,,,,130,114,,130,,,130,,
,,,,,,131,114,,131,,,131,,
,,,,,,132,114,,132,,,132,,
,,,,,,133,114,,133,,,133,,
,,,,,,134,114,,134,,,134,,
,,,,,,135,114,,135,,,135,,
,,,,,,136,114,,136,,,136,,
,,,,,,137,114,,137,,,137,,
,,,,,,138,114,,138,,,138,,
,,,,,,139,114,,139,,,139,,
,,,,,,140,114,,140,,,140,,
,,,,,,141,114,,141,,,141,,
,,,,,,142,114,,142,,,142,,
,,,,,,143,114,,143,,,143,,
,,,,,,144,114,,144,,,144,,
,,,,,,145,114,,145,,,145,,
,,,,,,146,114,,146,,,146,,
,,,,,,147,114,,147,,,147,,
,,,,,,148,114,,148,,,148,,
,,,,,,149,114,,149,,,149,,
,,,,,,150,114,,150,,,150,,
,,,,,,151,114,,151,,,151,,
,,,,,,152,114,,152,,,152,,
,,,,,,153,114,,153,,,153,,
,,,,,,154,114,,154,,,154,,
,,,,,,155,114,,155,,,155,,
,,,,,,156,114,,156,,,156,,
,,,,,,157,114,,157,,,157,,
,,,,,,158,114,,158,,,158,,
,,,,,,159,114,,159,,,159,,
,,,,,,160,114,,160,,,160,,
,,,,,,161,114,,161,,,161,,
,,,,,,162,114,,162,,,162,,
,,,,,,163,114,,163,,,163,,
,,,,,,164,114,,164,,,164,,
,,,,,,165,114,,165,,,165,,
,,,,,,166,114,,166,,,166,,
,,,,,,167,114,,167,,,167,,
,,,,,,168,114,,168,,,168,,
,,,,,,169,114,,169,,,169,,
,,,,,,170,114,,170,,,170,,
,,,,,,171,114,,171,,,171,,
,,,,,,172,114,,172,,,172,,
,,,,,,173,114,,173,,,173,,
,,,,,,174,114,,174,,,174,,
,,,,,,175,114,,175,,,175,,
,,,,,,176,114,,176,,,176,,
,,,,,,177,114,,177,,,177,,
,,,,,,178,114,,178,,,178,,
,,,,,,179,114,,179,,,179,,
,,,,,,180,114,,180,,,180,,
,,,,,,181,114,,181,,,181,,
,,,,,,182,114,,182,,,182,,
,,,,,,183,114,,183,,,183,,
,,,,,,184,114,,184,,,184,,
,,,,,,185,114,,185,,,185,,
,,,,,,186,114,,186,,,186,,
,,,,,,187,114,,187,,,187,,
,,,,,,188,114,,188,,,188,,
,,,,,,189,114,,189,,,189,,
,,,,,,190,114,,190,,,190,,
,,,,,,191,114,,191,,,191,,
,,,,,,192,114,,192,,,192,,
,,,,,,193,114,,193,,,193,,
,,,,,,194,114,,194,,,194,,
,,,,,,195,114,,195,,,195,,
,,,,,,196,114,,196,,,196,,
,,,,,,197,114,,197,,,197,,
,,,,,,198,114,,198,,,198,,
,,,,,,199,114,,199,0,,199,0,
,,,,,,200,114,,200,0,,200,0,
