Unnamed: 0,Site & PA$,Time,PA$,Game Name,Level,Per Level,Per Range,PVP,Per Level.1,Per Range.1,Map,Per Level.2,Per Range.2
30-35,30.0,1,30.0,Use Site pricing for PA,185-190,0,,185-190,9,45.0,185-190,0,
35-40,30.0,1,30.0,,190-195,0,,190-195,9,45.0,190-195,0,
,,,,,195-200,0,,195-200,9,45.0,195-200,0,
▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬,,,,,,,52.0,,,1572.0,,,99.0
Tyria Map Completion,,,,,Current,5,,Current,1,,Current,1,
,,,,https://user.playerauctions.com/offerCreation/?offerid=174626968&type=powerleveling&actiontype=copy,Desired,55,,Desired,200,,Desired,200,
01-100%,100.0,10 Days,100.0,,Site,26.25,,Site,1572,,Site,99,
,,,,https://www.epicnpc.com/threads/guild-wars-2-1-80-tyria-map-completion.730555/,0,27,,0,1572,,0,99,
Per 1%,1.0,,1.0,https://www.ownedcore.com/forums/showthread.php?t=925732&p=4261935#post4261935,1,,,1,,,1,,
,,,,https://www.elitepvpers.com/forum/guild-wars-2-trading/3598596-guild-wars-2-1-80-map-completion-dungeon-token-farming.html,Markup,200,,Markup,200,,Markup,200,
,,,,https://www.sythe.org/threads/guild-wars-2-1-80-tyria-map-completion/#post-14710390,0.2,250,,0.2,250,,0.2,250,
,,,,,Level,Price,,PVP,Price,,Map,Price,
,,,,,1,0,,1,0,,1,0,
,,,,,2,0.5,,2,3,,2,1,
,,,,,3,1,,3,6,,3,2,
,,,,,4,1.5,,4,9,,4,3,
,,,,,5,2,,5,12,,5,4,
,,,,,6,2.5,,6,15,,6,5,
,,,,,7,3,,7,18,,7,6,
,,,,,8,3.5,,8,21,,8,7,
,,,,,9,4,,9,24,,9,8,
,,,,,10,4.5,,10,27,,10,9,
,,,,,11,5,,11,30,,11,10,
,,,,,12,5.5,,12,33,,12,11,
,,,,,13,6,,13,36,,13,12,
,,,,,14,6.5,,14,39,,14,13,
,,,,,15,7,,15,42,,15,14,
,,,,,16,7.5,,16,45,,16,15,
,,,,,17,8,,17,48,,17,16,
,,,,,18,8.5,,18,51,,18,17,
,,,,,19,9,,19,54,,19,18,
,,,,,20,9.5,,20,57,,20,19,
,,,,,21,10,,21,63,,21,20,
,,,,,22,10.5,,22,69,,22,21,
,,,,,23,11,,23,75,,23,22,
,,,,,24,11.5,,24,81,,24,23,
,,,,,25,12,,25,87,,25,24,
,,,,,26,12.5,,26,93,,26,25,
,,,,,27,13,,27,99,,27,26,
,,,,,28,13.5,,28,105,,28,27,
,,,,,29,14,,29,111,,29,28,
,,,,,30,14.5,,30,117,,30,29,
,,,,,31,15,,31,123,,31,30,
,,,,,32,15.5,,32,129,,32,31,
,,,,,33,16,,33,135,,33,32,
,,,,,34,16.5,,34,141,,34,33,
,,,,,35,17,,35,147,,35,34,
,,,,,36,17.5,,36,153,,36,35,
,,,,,37,18,,37,159,,37,36,
,,,,,38,18.5,,38,165,,38,37,
,,,,,39,19,,39,171,,39,38,
,,,,,40,19.5,,40,177,,40,39,
,,,,,41,20,,41,186,,41,40,
,,,,,42,20.5,,42,195,,42,41,
,,,,,43,21,,43,204,,43,42,
,,,,,44,21.5,,44,213,,44,43,
,,,,,45,22,,45,222,,45,44,
,,,,,46,22.5,,46,231,,46,45,
,,,,,47,23,,47,240,,47,46,
,,,,,48,23.5,,48,249,,48,47,
,,,,,49,24,,49,258,,49,48,
,,,,,50,24.5,,50,267,,50,49,
,,,,,51,25.25,,51,276,,51,50,
,,,,,52,26,,52,285,,52,51,
,,,,,53,26.75,,53,294,,53,52,
,,,,,54,27.5,,54,303,,54,53,
,,,,,55,28.25,,55,312,,55,54,
,,,,,56,29,,56,321,,56,55,
,,,,,57,29.75,,57,330,,57,56,
,,,,,58,30.5,,58,339,,58,57,
,,,,,59,31.25,,59,348,,59,58,
,,,,,60,32,,60,357,,60,59,
,,,,,61,33,,61,366,,61,60,
,,,,,62,34,,62,375,,62,61,
,,,,,63,35,,63,384,,63,62,
,,,,,64,36,,64,393,,64,63,
,,,,,65,37,,65,402,,65,64,
,,,,,66,38,,66,411,,66,65,
,,,,,67,39,,67,420,,67,66,
,,,,,68,40,,68,429,,68,67,
,,,,,69,41,,69,438,,69,68,
,,,,,70,42,,70,447,,70,69,
,,,,,71,43,,71,456,,71,70,
,,,,,72,44,,72,465,,72,71,
,,,,,73,45,,73,474,,73,72,
,,,,,74,46,,74,483,,74,73,
,,,,,75,47,,75,492,,75,74,
,,,,,76,48,,76,501,,76,75,
,,,,,77,49,,77,510,,77,76,
,,,,,78,50,,78,519,,78,77,
,,,,,79,51,,79,528,,79,78,
,,,,,80,52,,80,537,,80,79,
,,,,,81,52,,81,546,,81,80,
,,,,,82,52,,82,555,,82,81,
,,,,,83,52,,83,564,,83,82,
,,,,,84,52,,84,573,,84,83,
,,,,,85,52,,85,582,,85,84,
,,,,,86,52,,86,591,,86,85,
,,,,,87,52,,87,600,,87,86,
,,,,,88,52,,88,609,,88,87,
,,,,,89,52,,89,618,,89,88,
,,,,,90,52,,90,627,,90,89,
,,,,,91,52,,91,636,,91,90,
,,,,,92,52,,92,645,,92,91,
,,,,,93,52,,93,654,,93,92,
,,,,,94,52,,94,663,,94,93,
,,,,,95,52,,95,672,,95,94,
,,,,,96,52,,96,681,,96,95,
,,,,,97,52,,97,690,,97,96,
,,,,,98,52,,98,699,,98,97,
,,,,,99,52,,99,708,,99,98,
,,,,,100,52,,100,717,,100,99,
,,,,,101,52,,101,726,,101,99,
,,,,,102,52,,102,735,,102,99,
,,,,,103,52,,103,744,,103,99,
,,,,,104,52,,104,753,,104,99,
,,,,,105,52,,105,762,,105,99,
,,,,,106,52,,106,771,,106,99,
,,,,,107,52,,107,780,,107,99,
,,,,,108,52,,108,789,,108,99,
,,,,,109,52,,109,798,,109,99,
,,,,,110,52,,110,807,,110,99,
,,,,,111,52,,111,816,,111,99,
,,,,,112,52,,112,825,,112,99,
,,,,,113,52,,113,834,,113,99,
,,,,,114,52,,114,843,,114,99,
,,,,,115,52,,115,852,,115,99,
,,,,,116,52,,116,861,,116,99,
,,,,,117,52,,117,870,,117,99,
,,,,,118,52,,118,879,,118,99,
,,,,,119,52,,119,888,,119,99,
,,,,,120,52,,120,897,,120,99,
,,,,,121,52,,121,906,,121,99,
,,,,,122,52,,122,915,,122,99,
,,,,,123,52,,123,924,,123,99,
,,,,,124,52,,124,933,,124,99,
,,,,,125,52,,125,942,,125,99,
,,,,,126,52,,126,951,,126,99,
,,,,,127,52,,127,960,,127,99,
,,,,,128,52,,128,969,,128,99,
,,,,,129,52,,129,978,,129,99,
,,,,,130,52,,130,987,,130,99,
,,,,,131,52,,131,996,,131,99,
,,,,,132,52,,132,1005,,132,99,
,,,,,133,52,,133,1014,,133,99,
,,,,,134,52,,134,1023,,134,99,
,,,,,135,52,,135,1032,,135,99,
,,,,,136,52,,136,1041,,136,99,
,,,,,137,52,,137,1050,,137,99,
,,,,,138,52,,138,1059,,138,99,
,,,,,139,52,,139,1068,,139,99,
,,,,,140,52,,140,1077,,140,99,
,,,,,141,52,,141,1086,,141,99,
,,,,,142,52,,142,1095,,142,99,
,,,,,143,52,,143,1104,,143,99,
,,,,,144,52,,144,1113,,144,99,
,,,,,145,52,,145,1122,,145,99,
,,,,,146,52,,146,1131,,146,99,
,,,,,147,52,,147,1140,,147,99,
,,,,,148,52,,148,1149,,148,99,
,,,,,149,52,,149,1158,,149,99,
,,,,,150,52,,150,1167,,150,99,
,,,,,151,52,,151,1176,,151,99,
,,,,,152,52,,152,1185,,152,99,
,,,,,153,52,,153,1194,,153,99,
,,,,,154,52,,154,1203,,154,99,
,,,,,155,52,,155,1212,,155,99,
,,,,,156,52,,156,1221,,156,99,
,,,,,157,52,,157,1230,,157,99,
,,,,,158,52,,158,1239,,158,99,
,,,,,159,52,,159,1248,,159,99,
,,,,,160,52,,160,1257,,160,99,
,,,,,161,52,,161,1266,,161,99,
,,,,,162,52,,162,1275,,162,99,
,,,,,163,52,,163,1284,,163,99,
,,,,,164,52,,164,1293,,164,99,
,,,,,165,52,,165,1302,,165,99,
,,,,,166,52,,166,1311,,166,99,
,,,,,167,52,,167,1320,,167,99,
,,,,,168,52,,168,1329,,168,99,
,,,,,169,52,,169,1338,,169,99,
,,,,,170,52,,170,1347,,170,99,
,,,,,171,52,,171,1356,,171,99,
,,,,,172,52,,172,1365,,172,99,
,,,,,173,52,,173,1374,,173,99,
,,,,,174,52,,174,1383,,174,99,
,,,,,175,52,,175,1392,,175,99,
,,,,,176,52,,176,1401,,176,99,
,,,,,177,52,,177,1410,,177,99,
,,,,,178,52,,178,1419,,178,99,
,,,,,179,52,,179,1428,,179,99,
,,,,,180,52,,180,1437,,180,99,
,,,,,181,52,,181,1446,,181,99,
,,,,,182,52,,182,1455,,182,99,
,,,,,183,52,,183,1464,,183,99,
,,,,,184,52,,184,1473,,184,99,
,,,,,185,52,,185,1482,,185,99,
,,,,,186,52,,186,1491,,186,99,
,,,,,187,52,,187,1500,,187,99,
,,,,,188,52,,188,1509,,188,99,
,,,,,189,52,,189,1518,,189,99,
,,,,,190,52,,190,1527,,190,99,
,,,,,191,52,,191,1536,,191,99,
,,,,,192,52,,192,1545,,192,99,
,,,,,193,52,,193,1554,,193,99,
,,,,,194,52,,194,1563,,194,99,
,,,,,195,52,,195,1572,,195,99,
,,,,,196,52,,196,1572,,196,99,
,,,,,197,52,,197,1572,,197,99,
,,,,,198,52,,198,1572,,198,99,
,,,,,199,52,,199,1572,,199,99,
,,,,,200,52,,200,1572,,200,99,
