Unnamed: 0,Site$,PA$,Unnamed: 5,Unnamed: 7,Game Name,xxx,Per Level,Per Range,xxx.1,Per Level.1,Per Range.1,xxx.2,Per Level.2,Per Range.2
Gold III to Gold II,46,54.69678954,8,7,,32,,,32,,,32,,
Gold II to Gold I,52,61.83115339,10,8,,33,,,33,,,33,,
Gold I to Platinum IV,59,70.15457788,11,9,,34,,,34,,,34,,
Platinum IV to Platinum III,65,77.28894174,12,10,,35,,,35,,,35,,
Platinum III to Platinum II,65,77.28894174,12,10,,36,,,36,,,36,,
Platinum II to Platinum I,72,85.61236623,13,11,,37,,,37,,,37,,
Platinum I to Diamond IV,85,101.0701546,16,13,,38,,,38,,,38,,
Diamond IV to Diamond III,120,142.6872771,19,16,,39,,,39,,,39,,
Diamond III to Diamond II,150,178.3590963,24,20,,40,,,40,,,40,,
Diamond II to Diamond I,225,267.5386445,30,25,,41,,,41,,,41,,
Diamond I to Master,375,445.8977408,36,30,,42,,,42,,,42,,
,,,,,,43,,,43,,,43,,
,,,,,,44,,,44,,,44,,
,,,,,,45,,,45,,,45,,
,,,,,,46,,,46,,,46,,
,,,,,,47,,,47,,,47,,
,,,,,,48,,,48,,,48,,
,,,,,,49,,,49,,,49,,
,,,,,,50,,,50,,,50,,
,,,,,,51,,,51,,,51,,
,,,,,,52,,,52,,,52,,
,,,,,,53,,,53,,,53,,
,,,,,,54,,,54,,,54,,
,,,,,,55,,,55,,,55,,
,,,,,,56,,,56,,,56,,
,,,,,,57,,,57,,,57,,
,,,,,,58,,,58,,,58,,
,,,,,,59,,,59,,,59,,
,,,,,,60,,,60,,,60,,
,,,,,,61,,,61,,,61,,
,,,,,,62,,,62,,,62,,
,,,,,,63,,,63,,,63,,
,,,,,,64,,,64,,,64,,
,,,,,,65,,,65,,,65,,
,,,,,,66,,,66,,,66,,
,,,,,,67,,,67,,,67,,
,,,,,,68,,,68,,,68,,
,,,,,,69,,,69,,,69,,
,,,,,,70,,,70,,,70,,
,,,,,,71,,,71,,,71,,
,,,,,,72,,,72,,,72,,
,,,,,,73,,,73,,,73,,
,,,,,,74,,,74,,,74,,
,,,,,,75,,,75,,,75,,
,,,,,,76,,,76,,,76,,
,,,,,,77,,,77,,,77,,
,,,,,,78,,,78,,,78,,
,,,,,,79,,,79,,,79,,
,,,,,,80,,,80,,,80,,
,,,,,,81,,,81,,,81,,
,,,,,,82,,,82,,,82,,
,,,,,,83,,,83,,,83,,
,,,,,,84,,,84,,,84,,
,,,,,,85,,,85,,,85,,
,,,,,,86,,,86,,,86,,
,,,,,,87,,,87,,,87,,
,,,,,,88,,,88,,,88,,
,,,,,,89,,,89,,,89,,
,,,,,,90,,,90,,,90,,
,,,,,,91,,,91,,,91,,
,,,,,,92,,,92,,,92,,
,,,,,,93,,,93,,,93,,
,,,,,,94,,,94,,,94,,
,,,,,,95,,,95,,,95,,
,,,,,,96,,,96,,,96,,
,,,,,,97,,,97,,,97,,
,,,,,,98,,,98,,,98,,
,,,,,,99,,,99,,,99,,
,,,,,,100,,,100,,,100,,
,,,,,,101,,,101,,,101,,
,,,,,,102,,,102,,,102,,
,,,,,,103,,,103,,,103,,
,,,,,,104,,,104,,,104,,
,,,,,,105,,,105,,,105,,
,,,,,,106,,,106,,,106,,
,,,,,,107,,,107,,,107,,
,,,,,,108,,,108,,,108,,
,,,,,,109,,,109,,,109,,
,,,,,,110,,,110,,,110,,
,,,,,,111,,,111,,,111,,
,,,,,,112,,,112,,,112,,
,,,,,,113,,,113,,,113,,
,,,,,,114,,,114,,,114,,
,,,,,,115,,,115,,,115,,
,,,,,,116,,,116,,,116,,
,,,,,,117,,,117,,,117,,
,,,,,,118,,,118,,,118,,
,,,,,,119,,,119,,,119,,
,,,,,,120,,,120,,,120,,
,,,,,,121,,,121,,,121,,
,,,,,,122,,,122,,,122,,
,,,,,,123,,,123,,,123,,
,,,,,,124,,,124,,,124,,
,,,,,,125,,,125,,,125,,
,,,,,,126,,,126,,,126,,
,,,,,,127,,,127,,,127,,
,,,,,,128,,,128,,,128,,
,,,,,,129,,,129,,,129,,
,,,,,,130,,,130,,,130,,
,,,,,,131,,,131,,,131,,
,,,,,,132,,,132,,,132,,
,,,,,,133,,,133,,,133,,
,,,,,,134,,,134,,,134,,
,,,,,,135,,,135,,,135,,
,,,,,,136,,,136,,,136,,
,,,,,,137,,,137,,,137,,
,,,,,,138,,,138,,,138,,
,,,,,,139,,,139,,,139,,
,,,,,,140,,,140,,,140,,
,,,,,,141,,,141,,,141,,
,,,,,,142,,,142,,,142,,
,,,,,,143,,,143,,,143,,
,,,,,,144,,,144,,,144,,
,,,,,,145,,,145,,,145,,
,,,,,,146,,,146,,,146,,
,,,,,,147,,,147,,,147,,
,,,,,,148,,,148,,,148,,
,,,,,,149,,,149,,,149,,
,,,,,,150,,,150,,,150,,
,,,,,,151,,,151,,,151,,
,,,,,,152,,,152,,,152,,
,,,,,,153,,,153,,,153,,
,,,,,,154,,,154,,,154,,
,,,,,,155,,,155,,,155,,
,,,,,,156,,,156,,,156,,
,,,,,,157,,,157,,,157,,
,,,,,,158,,,158,,,158,,
,,,,,,159,,,159,,,159,,
,,,,,,160,,,160,,,160,,
,,,,,,161,,,161,,,161,,
,,,,,,162,,,162,,,162,,
,,,,,,163,,,163,,,163,,
,,,,,,164,,,164,,,164,,
,,,,,,165,,,165,,,165,,
,,,,,,166,,,166,,,166,,
,,,,,,167,,,167,,,167,,
,,,,,,168,,,168,,,168,,
,,,,,,169,,,169,,,169,,
,,,,,,170,,,170,,,170,,
,,,,,,171,,,171,,,171,,
,,,,,,172,,,172,,,172,,
,,,,,,173,,,173,,,173,,
,,,,,,174,,,174,,,174,,
,,,,,,175,,,175,,,175,,
,,,,,,176,,,176,,,176,,
,,,,,,177,,,177,,,177,,
,,,,,,178,,,178,,,178,,
,,,,,,179,,,179,,,179,,
,,,,,,180,,,180,,,180,,
,,,,,,181,,,181,,,181,,
,,,,,,182,,,182,,,182,,
,,,,,,183,,,183,,,183,,
,,,,,,184,,,184,,,184,,
,,,,,,185,,,185,,,185,,
,,,,,,186,,,186,,,186,,
,,,,,,187,,,187,,,187,,
,,,,,,188,,,188,,,188,,
,,,,,,189,,,189,,,189,,
,,,,,,190,,,190,,,190,,
,,,,,,191,,,191,,,191,,
,,,,,,192,,,192,,,192,,
,,,,,,193,,,193,,,193,,
,,,,,,194,,,194,,,194,,
,,,,,,195,,,195,,,195,,
,,,,,,196,,,196,,,196,,
,,,,,,197,,,197,,,197,,
,,,,,,198,,,198,,,198,,
,,,,,,199,0,,199,0,,199,0,
,,,,,,200,0,,200,0,,200,0,
