Unnamed: 0,Site$,Time,Required,PA$,Game Name,Level,Per Level,Per Range,xxx,Per Level.1,Per Range.1,xxx.1,Per Level.2,Per Range.2
,,,,,,34,28,,34,,,34,,
Campaign Story Completion,,,,,,35,30,,35,,,35,,
,,,,,,36,32,,36,,,36,,
Ark 1 - East Luterra,20,1,,23.78121284,,37,34,,37,,,37,,
Ark 2 - Tortoyk,25,1,,29.72651605,,38,36,,38,,,38,,
Ark 3 - North Vern,35,1,,41.61712247,,39,38,,39,,,39,,
Ark 4 - Shushire,65,1,,77.28894174,,40,40,,40,,,40,,
Ark 5 - Rohendel,190,2,,225.921522,,41,43,,41,,,41,,
Ark 6 - Feiton,390,3,Tier 2 - iLvl 600+,463.7336504,,42,46,,42,,,42,,
Ark 7 - Punika,TBD,TBD,Tier 3 - Coming Soon,TBD,,43,49,,43,,,43,,
,,,,,,44,52,,44,,,44,,
,,,,,,45,55,,45,,,45,,
,,,,,,46,58,,46,,,46,,
,,,,,,47,61,,47,,,47,,
,,,,,,48,64,,48,,,48,,
,,,,,,49,67,,49,,,49,,
,,,,,,50,70,,50,,,50,,
,,,,,,51,120,,51,,,51,,
,,,,,,52,170,,52,,,52,,
,,,,,,53,220,,53,,,53,,
,,,,,,54,270,,54,,,54,,
,,,,,,55,320,,55,,,55,,
,,,,,,56,420,,56,,,56,,
,,,,,,57,520,,57,,,57,,
,,,,,,58,620,,58,,,58,,
,,,,,,59,720,,59,,,59,,
,,,,,,60,820,,60,,,60,,
,,,,,,61,820,,61,,,61,,
,,,,,,62,820,,62,,,62,,
,,,,,,63,820,,63,,,63,,
,,,,,,64,820,,64,,,64,,
,,,,,,65,820,,65,,,65,,
,,,,,,66,820,,66,,,66,,
,,,,,,67,820,,67,,,67,,
,,,,,,68,820,,68,,,68,,
,,,,,,69,820,,69,,,69,,
,,,,,,70,820,,70,,,70,,
,,,,,,71,820,,71,,,71,,
,,,,,,72,820,,72,,,72,,
,,,,,,73,820,,73,,,73,,
,,,,,,74,820,,74,,,74,,
,,,,,,75,820,,75,,,75,,
,,,,,,76,820,,76,,,76,,
,,,,,,77,820,,77,,,77,,
,,,,,,78,820,,78,,,78,,
,,,,,,79,820,,79,,,79,,
,,,,,,80,820,,80,,,80,,
,,,,,,81,820,,81,,,81,,
,,,,,,82,820,,82,,,82,,
,,,,,,83,820,,83,,,83,,
,,,,,,84,820,,84,,,84,,
,,,,,,85,820,,85,,,85,,
,,,,,,86,820,,86,,,86,,
,,,,,,87,820,,87,,,87,,
,,,,,,88,820,,88,,,88,,
,,,,,,89,820,,89,,,89,,
,,,,,,90,820,,90,,,90,,
,,,,,,91,820,,91,,,91,,
,,,,,,92,820,,92,,,92,,
,,,,,,93,820,,93,,,93,,
,,,,,,94,820,,94,,,94,,
,,,,,,95,820,,95,,,95,,
,,,,,,96,820,,96,,,96,,
,,,,,,97,820,,97,,,97,,
,,,,,,98,820,,98,,,98,,
,,,,,,99,820,,99,,,99,,
,,,,,,100,820,,100,,,100,,
,,,,,,101,820,,101,,,101,,
,,,,,,102,820,,102,,,102,,
,,,,,,103,820,,103,,,103,,
,,,,,,104,820,,104,,,104,,
,,,,,,105,820,,105,,,105,,
,,,,,,106,820,,106,,,106,,
,,,,,,107,820,,107,,,107,,
,,,,,,108,820,,108,,,108,,
,,,,,,109,820,,109,,,109,,
,,,,,,110,820,,110,,,110,,
,,,,,,111,820,,111,,,111,,
,,,,,,112,820,,112,,,112,,
,,,,,,113,820,,113,,,113,,
,,,,,,114,820,,114,,,114,,
,,,,,,115,820,,115,,,115,,
,,,,,,116,820,,116,,,116,,
,,,,,,117,820,,117,,,117,,
,,,,,,118,820,,118,,,118,,
,,,,,,119,820,,119,,,119,,
,,,,,,120,820,,120,,,120,,
,,,,,,121,820,,121,,,121,,
,,,,,,122,820,,122,,,122,,
,,,,,,123,820,,123,,,123,,
,,,,,,124,820,,124,,,124,,
,,,,,,125,820,,125,,,125,,
,,,,,,126,820,,126,,,126,,
,,,,,,127,820,,127,,,127,,
,,,,,,128,820,,128,,,128,,
,,,,,,129,820,,129,,,129,,
,,,,,,130,820,,130,,,130,,
,,,,,,131,820,,131,,,131,,
,,,,,,132,820,,132,,,132,,
,,,,,,133,820,,133,,,133,,
,,,,,,134,820,,134,,,134,,
,,,,,,135,820,,135,,,135,,
,,,,,,136,820,,136,,,136,,
,,,,,,137,820,,137,,,137,,
,,,,,,138,820,,138,,,138,,
,,,,,,139,820,,139,,,139,,
,,,,,,140,820,,140,,,140,,
,,,,,,141,820,,141,,,141,,
,,,,,,142,820,,142,,,142,,
,,,,,,143,820,,143,,,143,,
,,,,,,144,820,,144,,,144,,
,,,,,,145,820,,145,,,145,,
,,,,,,146,820,,146,,,146,,
,,,,,,147,820,,147,,,147,,
,,,,,,148,820,,148,,,148,,
,,,,,,149,820,,149,,,149,,
,,,,,,150,820,,150,,,150,,
,,,,,,151,820,,151,,,151,,
,,,,,,152,820,,152,,,152,,
,,,,,,153,820,,153,,,153,,
,,,,,,154,820,,154,,,154,,
,,,,,,155,820,,155,,,155,,
,,,,,,156,820,,156,,,156,,
,,,,,,157,820,,157,,,157,,
,,,,,,158,820,,158,,,158,,
,,,,,,159,820,,159,,,159,,
,,,,,,160,820,,160,,,160,,
,,,,,,161,820,,161,,,161,,
,,,,,,162,820,,162,,,162,,
,,,,,,163,820,,163,,,163,,
,,,,,,164,820,,164,,,164,,
,,,,,,165,820,,165,,,165,,
,,,,,,166,820,,166,,,166,,
,,,,,,167,820,,167,,,167,,
,,,,,,168,820,,168,,,168,,
,,,,,,169,820,,169,,,169,,
,,,,,,170,820,,170,,,170,,
,,,,,,171,820,,171,,,171,,
,,,,,,172,820,,172,,,172,,
,,,,,,173,820,,173,,,173,,
,,,,,,174,820,,174,,,174,,
,,,,,,175,820,,175,,,175,,
,,,,,,176,820,,176,,,176,,
,,,,,,177,820,,177,,,177,,
,,,,,,178,820,,178,,,178,,
,,,,,,179,820,,179,,,179,,
,,,,,,180,820,,180,,,180,,
,,,,,,181,820,,181,,,181,,
,,,,,,182,820,,182,,,182,,
,,,,,,183,820,,183,,,183,,
,,,,,,184,820,,184,,,184,,
,,,,,,185,820,,185,,,185,,
,,,,,,186,820,,186,,,186,,
,,,,,,187,820,,187,,,187,,
,,,,,,188,820,,188,,,188,,
,,,,,,189,820,,189,,,189,,
,,,,,,190,820,,190,,,190,,
,,,,,,191,820,,191,,,191,,
,,,,,,192,820,,192,,,192,,
,,,,,,193,820,,193,,,193,,
,,,,,,194,820,,194,,,194,,
,,,,,,195,820,,195,,,195,,
,,,,,,196,820,,196,,,196,,
,,,,,,197,820,,197,,,197,,
,,,,,,198,820,,198,,,198,,
,,,,,,199,820,,199,0,,199,0,
,,,,,,200,820,,200,0,,200,0,
