Unnamed: 0;Site & PA;Time;Required;PA$;Game Name;Level;Per Level;Per Range;xxx;Per Level.1;Per Range.1;xxx.1;Per Level.2;Per Range.2
▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬;;;;;;145-150;0;;145-150;0;;145-150;0;
;;;;;;150-155;0;;150-155;0;;150-155;0;
Currency Farming;;;;;;155-160;0;;155-160;0;;155-160;0;
;;;;;;160-165;0;;160-165;0;;160-165;0;
10,000,000 Roubles;80.0;24;Required: Market Unlock;80.0;;165-170;0;;165-170;0;;165-170;0;
5,000,000 Roubles;40.0;12;Required: Market Unlock;40.0;;175-180;0;;175-180;0;;175-180;0;
1,000,000 Roubles;10.0;3;Required: Market Unlock;10.0;;180-185;0;;180-185;0;;180-185;0;
;;;;;Use Site pricing for PA;185-190;0;;185-190;0;;185-190;0;
▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬;;;;;;190-195;0;;190-195;0;;190-195;0;
;;;;;;195-200;0;;195-200;0;;195-200;0;
Raid Carry ;;;;;;;;692.0;;;0.0;;;0.0
Customs Loot Priority 100%;19.0;2;Requires: 200k Gear;19.0;;Current;12;;Current;1;;Current;1;
Interchange Loot Priority 100%;20.0;2;Requires: 200k Gear;20.0;https://user.playerauctions.com/offerCreation/?offerid=174764228&type=powerleveling&actiontype=copy;Desired;15;;Desired;200;;Desired;200;
Shoreline Loot Priority 100%;22.0;2;Requires: 200k Gear;22.0;;Site;33;;Site;0;;Site;0;
Reserve Loot Priority 100%;24.0;2;Requires: 200k Gear;24.0;https://www.epicnpc.com/threads/eft-leveling-skills-quests-items-cases-keys-more.1565954/;0;33;;0;0;;0;0;
Labs Loot Priority 100%;28.0;2;Requires: 200k Gear;28.0;https://www.ownedcore.com/forums/showthread.php?t=925726&p=4261926#post4261926;1;;;1;;;1;;
Woods Loot Priority 100%;24.0;2;Requires: 200k Gear;24.0;https://www.elitepvpers.com/forum/escape-tarkov-trading/4713772-ogedge-com-leveling-skills-quests-items-cases-keys-more.html#post37952826;Markup;200;;Markup;200;;Markup;200;
;;;;;https://www.sythe.org/threads/escape-from-tarkov-leveling-skills-quests-items-cases-keys-more/;0.2;250;;0.2;250;;0.2;250;
▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬;;;;;;;;;;;;;;
Peacekeeper Quests;;;;;;Level;Cumulative;;xxx;Cumulative;;xxx;Cumulative;
;;;;;;1;0;;1;0;;1;0;
Fishing Gear Quest ;15.0;3;;15.0;;2;8;;2;;;2;;
Tigr Safari Quest ;15.0;3;;15.0;;3;16;;3;;;3;;
Scrap Metal Quest;15.0;3;;15.0;;4;24;;4;;;4;;
Eagle Eye Quest;15.0;3;;15.0;;5;32;;5;;;5;;
Humanitarian Supplies;15.0;3;;15.0;;6;42;;6;;;6;;
The Cult Part 1 Quest;15.0;3;;15.0;;7;52;;7;;;7;;
The Cult Part 2 Quest;15.0;3;;15.0;;8;62;;8;;;8;;
Spa Tour Part 1 Quest;15.0;3;;15.0;;9;72;;9;;;9;;
Spa Tour Part 2 Quest;15.0;3;;15.0;;10;82;;10;;;10;;
Spa Tour Part 3 Quest;70.0;48;;70.0;;11;93;;11;;;11;;
Spa Tour Part 4 Quest;15.0;3;;15.0;;12;104;;12;;;12;;
Spa Tour Part 5 Quest;15.0;3;;15.0;;13;115;;13;;;13;;
Spa Tour Part 6 Quest;15.0;3;;15.0;;14;126;;14;;;14;;
Spa Tour Part 7 Quest;120.0;Varies;;120.0;;15;137;;15;;;15;;
Cargo X Part 1 Quest;20.0;12;;20.0;;16;149;;16;;;16;;
Cargo X Part 2 Quest;20.0;12;;20.0;;17;161;;17;;;17;;
Cargo X Part 3 Quest;20.0;12;;20.0;;18;173;;18;;;18;;
Lend Lease Part 2 Quest;140.0;Varies;;140.0;;19;185;;19;;;19;;
Wet Job Part 1 Quest;15.0;3;;15.0;;20;197;;20;;;20;;
Wet Job Part 2 Quest;15.0;3;;15.0;;21;210;;21;;;21;;
Wet Job Part 2 Quest;15.0;3;;15.0;;22;223;;22;;;22;;
Wet Job Part 3 Quest;15.0;3;;15.0;;23;236;;23;;;23;;
Wet Job Part 4 Quest;15.0;3;;15.0;;24;249;;24;;;24;;
Wet Job Part 5 Quest;15.0;3;;15.0;;25;262;;25;;;25;;
Wet Job Part 6 Quest;190.0;Varies;;190.0;;26;275;;26;;;26;;
The Guide Quest;110.0;Varies;;110.0;;27;288;;27;;;27;;
Peackeeping Mission Quest;65.0;48;;65.0;;28;301;;28;;;28;;
Mentor Quest Boost;15.0;3;;15.0;;29;314;;29;;;29;;
;;;;;;30;327;;30;;;30;;
▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬;;;;;;31;342;;31;;;31;;
;;;;;;32;357;;32;;;32;;
Prapor Quests;;;;;;33;372;;33;;;33;;
;;;;;;34;387;;34;;;34;;
Debut Elimination Quest;15.0;3;;15.0;;35;402;;35;;;35;;
BP Depot Quest;18.0;3;;18.0;;36;427;;36;;;36;;
Bad Rep Evidence;15.0;3;;15.0;;37;452;;37;;;37;;
Postman Pat Part 1 Quest;19.0;3;;19.0;;38;477;;38;;;38;;
Shaking Up Teller Quest;15.0;3;;15.0;;39;502;;39;;;39;;
The Punisher Part 1 Quest;19.0;3;;19.0;;40;527;;40;;;40;;
The Punisher Part 2 Quest;25.0;12;;25.0;;41;560;;41;;;41;;
The Punisher Part 3 Quest;25.0;12;;25.0;;42;593;;42;;;42;;
The Punisher Part 4 Quest;33.0;24;;33.0;;43;626;;43;;;43;;
The Punisher Part 5 Quest;33.0;24;;33.0;;44;659;;44;;;44;;
The Punisher Part 6 Quest;33.0;24;;33.0;;45;692;;45;;;45;;
Polikhim Hobo Quest;19.0;3;;19.0;;46;692;;46;;;46;;
Big Customer Quest;19.0;3;;19.0;;47;692;;47;;;47;;
No Offence Quest;15.0;3;;15.0;;48;692;;48;;;48;;
Grenadier Quest;110.0;Varies;;110.0;;49;692;;49;;;49;;
Insomnia Quest;85.0;48;;85.0;;50;692;;50;;;50;;
Test Drive Part 1;25.0;3;;25.0;;51;692;;51;;;51;;
Regulated Materials Quest;200.0;Varies;;200.0;;52;692;;52;;;52;;
;;;;;;53;692;;53;;;53;;
▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬;;;;;;54;692;;54;;;54;;
;;;;;;55;692;;55;;;55;;
Therapist Quests;;;;;;56;692;;56;;;56;;
;;;;;;57;692;;57;;;57;;
Shortage Quest;17.0;3;;17.0;;58;692;;58;;;58;;
Sanitary Standards Part 1;15.0;3;;15.0;;59;692;;59;;;59;;
Sanitary Standards Part 2;45.0;12;;45.0;;60;692;;60;;;60;;
Operation Aquarius Part 1;15.0;3;;15.0;;61;692;;61;;;61;;
Operation Aquarius Part 2;17.0;3;;17.0;;62;692;;62;;;62;;
Painkiller Quest;45.0;12;;45.0;;63;692;;63;;;63;;
Pharmacist Quest;17.0;3;;17.0;;64;692;;64;;;64;;
Supply Plans Quest;17.0;3;;17.0;;65;692;;65;;;65;;
General Wares Quest;65.0;24;;65.0;;66;692;;66;;;66;;
Car Repair Quest;99.0;Varies;;99.0;;67;692;;67;;;67;;
Health Care Privacy Part 1;17.0;3;;17.0;;68;692;;68;;;68;;
Health Care Privacy Part 2;17.0;3;;17.0;;69;692;;69;;;69;;
Health Care Privacy Part 3;17.0;3;;17.0;;70;692;;70;;;70;;
Health Care Privacy Part 4;65.0;3;;65.0;;71;692;;71;;;71;;
Health Care Privacy Part 5;33.0;3;;33.0;;72;692;;72;;;72;;
Out Of Curiosity Quest;17.0;3;;17.0;;73;692;;73;;;73;;
Trust Regain Quest;17.0;3;;17.0;;74;692;;74;;;74;;
Private Clinic Quest;150.0;Varies;;150.0;;75;692;;75;;;75;;
Decontamination Service Quest;25.0;12;;25.0;;76;692;;76;;;76;;
;;;;;;77;692;;77;;;77;;
▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬;;;;;;78;692;;78;;;78;;
;;;;;;79;692;;79;;;79;;
Ragman Quests;;;;;;80;692;;80;;;80;;
;;;;;;81;692;;81;;;81;;
Make ULTRA Great Again Quest;22.0;3;;22.0;;82;692;;82;;;82;;
Big Sale Quest;15.0;3;;15.0;;83;692;;83;;;83;;
The Blood of War Part 1 Quest;15.0;3;;15.0;;84;692;;84;;;84;;
The Blood of War Part 2 Quest;45.0;12;;45.0;;85;692;;85;;;85;;
The Blood of War Part 3 Quest;17.0;3;;17.0;;86;692;;86;;;86;;
Dressed To Kill Quest;15.0;3;;15.0;;87;692;;87;;;87;;
Gratitude Quest;17.0;3;;17.0;;88;692;;88;;;88;;
Sales Night Quest;45.0;12;;45.0;;89;692;;89;;;89;;
Hot Delivery Quest;25.0;3;;25.0;;90;692;;90;;;90;;
Database Part 1 Quest;17.0;3;;17.0;;91;692;;91;;;91;;
Database Part 2 Quest;17.0;3;;17.0;;92;692;;92;;;92;;
Minibus Quest;17.0;3;;17.0;;93;692;;93;;;93;;
Sew It Good Part 1 Quest;45.0;12;;45.0;;94;692;;94;;;94;;
Sew It Good Part 2 Quest;15.0;3;;15.0;;95;692;;95;;;95;;
Sew It Good Part 3 Quest;35.0;3;;35.0;;96;692;;96;;;96;;
Sew It Good Part 4 Quest;45.0;3;;45.0;;97;692;;97;;;97;;
The Key To Success Quest;17.0;3;;17.0;;98;692;;98;;;98;;
Living High Is Not A Crime Part 1;135.0;Varies;;135.0;;99;692;;99;;;99;;
Living High Is Not A Crime Part 2;200.0;Varies;;200.0;;100;692;;100;;;100;;
The Stylish One Quest;400.0;Varies;;400.0;;101;692;;101;;;101;;
;;;;;;102;692;;102;;;102;;
▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬;;;;;;103;692;;103;;;103;;
;;;;;;104;692;;104;;;104;;
Mechanic Quests;;;;;;105;692;;105;;;105;;
;;;;;;106;692;;106;;;106;;
Farming Part 1 Quest;25.0;1;;25.0;;107;692;;107;;;107;;
Farming Part 2 Quest;45.0;24;;45.0;;108;692;;108;;;108;;
Farming Part 3 Quest;15.0;3;;15.0;;109;692;;109;;;109;;
Farming Part 4 Quest;190.0;Varies;;190.0;;110;692;;110;;;110;;
Signal Part 1 Quest;15.0;3;;15.0;;111;692;;111;;;111;;
Signal Part 2 Quest;80.0;3;;80.0;;112;692;;112;;;112;;
Signal Part 3 Quest;17.0;3;;17.0;;113;692;;113;;;113;;
Bad Habit Quest;80.0;48;;80.0;;114;692;;114;;;114;;
Scout Quest;25.0;3;;25.0;;115;692;;115;;;115;;
Import Quest;80.0;48;;80.0;;116;692;;116;;;116;;
Fertilizers Quest;45.0;48;;45.0;;117;692;;117;;;117;;
A Shooter Born In Heaven Quest;150.0;Varies;;150.0;;118;692;;118;;;118;;
Introduction Quest;15.0;3;;15.0;;119;692;;119;;;119;;
;;;;;;120;692;;120;;;120;;
▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬;;;;;;121;692;;121;;;121;;
;;;;;;122;692;;122;;;122;;
Skier Quests;;;;;;123;692;;123;;;123;;
;;;;;;124;692;;124;;;124;;
Supplier Quest;15.0;3;;15.0;;125;692;;125;;;125;;
Extortionist Quest;15.0;3;;15.0;;126;692;;126;;;126;;
Stirrup Quest;35.0;3;;35.0;;127;692;;127;;;127;;
What's On The Flash Drive? Quest;50.0;48;;50.0;;128;692;;128;;;128;;
Chemical Part 1 Quest;15.0;3;;15.0;;129;692;;129;;;129;;
Chemical Part 2 Quest;17.0;3;;17.0;;130;692;;130;;;130;;
Chemical Part 3 Quest;17.0;3;;17.0;;131;692;;131;;;131;;
Chemical Part 4 Quest;17.0;3;;17.0;;132;692;;132;;;132;;
Friend From The West Part 1;30.0;12;;30.0;;133;692;;133;;;133;;
Vitamins Part 1 Quest ;25.0;12;;25.0;;134;692;;134;;;134;;
Vitamins Part 2 Quest;65.0;Varies;;65.0;;135;692;;135;;;135;;
Lend Lease Part 1 Quest;35.0;12;;35.0;;136;692;;136;;;136;;
Chumming Quest;25.0;12;;25.0;;137;692;;137;;;137;;
Kind Of Sabotage Quest;15.0;3;;15.0;;138;692;;138;;;138;;
Silent Caliber Quest;35.0;24;;35.0;;139;692;;139;;;139;;
Bullshit Quest;25.0;12;;25.0;;140;692;;140;;;140;;
Setup Quest;25.0;12;;25.0;;141;692;;141;;;141;;
;;;;;;142;692;;142;;;142;;
▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬;;;;;;143;692;;143;;;143;;
;;;;;;144;692;;144;;;144;;
Jaeger Quests;;;;;;145;692;;145;;;145;;
;;;;;;146;692;;146;;;146;;
Acquaintance Quest;80.0;Varies;;80.0;;147;692;;147;;;147;;
The Survivalist Path - Unprotected But Dangerous Quest;15.0;3;;15.0;;148;692;;148;;;148;;
The Survivalist Path - Zhivchik Quest;17.0;3;;17.0;;149;692;;149;;;149;;
The Survivalist Path - Wounded Beast Quest;35.0;3;;35.0;;150;692;;150;;;150;;
The Survivalist Path - Tough Guy Quest;25.0;3;;25.0;;151;692;;151;;;151;;
The Survivalist Path - Cold Blooded Quest;35.0;3;;35.0;;152;692;;152;;;152;;
The Survivalist Path - Zatoichi Quest;45.0;24;;45.0;;153;692;;153;;;153;;
The Survivalist Path - Eagle-Owl Ques;25.0;3;;25.0;;154;692;;154;;;154;;
Huntsman Path - Secured Perimeter Quest;35.0;3;;35.0;;155;692;;155;;;155;;
Huntsman Path - The Trophy Quest;35.0;3;;35.0;;156;692;;156;;;156;;
Huntsman Path - Woods Cleaning;25.0;24;;25.0;;157;692;;157;;;157;;
Huntsman Path - Controller Quest;35.0;24;;35.0;;158;692;;158;;;158;;
Huntsman Path - Sell-Out Quest;35.0;24;;35.0;;159;692;;159;;;159;;
Huntsman Path - Woods Keeper Quest;35.0;24;;35.0;;160;692;;160;;;160;;
Huntsman Path - Justice Quest;35.0;24;;35.0;;161;692;;161;;;161;;
Huntsman Path - Evil Watchman Quest;35.0;24;;35.0;;162;692;;162;;;162;;
Huntsman Path - Eraser Quest;35.0;24;;35.0;;163;692;;163;;;163;;
Huntsman Path - Eraser Part 2 Quest;35.0;24;;35.0;;164;692;;164;;;164;;
Ambulance Quest;80.0;Varies;;80.0;;165;692;;165;;;165;;
Shady Business Quest;45.0;3;;45.0;;166;692;;166;;;166;;
Nostalgia Quest;15.0;3;;15.0;;167;692;;167;;;167;;
Fishing Place Quest;80.0;Varies;;80.0;;168;692;;168;;;168;;
Courtesy Visit Quest;15.0;3;;15.0;;169;692;;169;;;169;;
Hunting Trip Quest;15.0;3;;15.0;;170;692;;170;;;170;;
Reserve Quest;15.0;3;;15.0;;171;692;;171;;;171;;
The Tarkov Shooter Part 1 Quest;17.0;3;;17.0;;172;692;;172;;;172;;
The Tarkov Shooter Part 2 Quest;25.0;24;;25.0;;173;692;;173;;;173;;
The Tarkov Shooter Part 3 Quest;45.0;24;;45.0;;174;692;;174;;;174;;
The Tarkov Shooter Part 5 Quest;25.0;24;;25.0;;175;692;;175;;;175;;
The Tarkov Shooter Part 6 Quest;45.0;24;;45.0;;176;692;;176;;;176;;
The Tarkov Shooter Part 7 Quest;35.0;24;;35.0;;177;692;;177;;;177;;
The Tarkov Shooter Part 8 Quest;35.0;24;;35.0;;178;692;;178;;;178;;
;;;;;;179;692;;179;;;179;;
;;;;;;180;692;;180;;;180;;
;;;;;;181;692;;181;;;181;;
;;;;;;182;692;;182;;;182;;
;;;;;;183;692;;183;;;183;;
;;;;;;184;692;;184;;;184;;
;;;;;;185;692;;185;;;185;;
;;;;;;186;692;;186;;;186;;
;;;;;;187;692;;187;;;187;;
;;;;;;188;692;;188;;;188;;
;;;;;;189;692;;189;;;189;;
;;;;;;190;692;;190;;;190;;
;;;;;;191;692;;191;;;191;;
;;;;;;192;692;;192;;;192;;
;;;;;;193;692;;193;;;193;;
;;;;;;194;692;;194;;;194;;
;;;;;;195;692;;195;;;195;;
;;;;;;196;692;;196;;;196;;
;;;;;;197;692;;197;;;197;;
;;;;;;198;692;;198;;;198;;
;;;;;;199;692;;199;0;;199;0;
;;;;;;200;692;;200;0;;200;0;
