PA$,Time,Required,Site$,Game Name,Level,Per Level,Per Range,Per Level.1,Per Range.1,xxx.1,Per Level.2,Per Range.2
356.7181926,,Required: L60,300.0,,57,150,,,,57,,
1545.778835,,Required: L60,1300.0,,58,158,,,,58,,
237.8121284,,Required: L60,200.0,,59,166,,,,59,,
1664.684899,,Required: L60,1400.0,,60,174,,,,60,,
2378.121284,,Required: L60,2000.0,,61,184,,,,61,,
9512.485137,,Required: L60,8000.0,,62,194,,,,62,,
356.7181926,,Required: L60,300.0,,63,204,,,,63,,
356.7181926,,Required: L60,300.0,,64,214,,,,64,,
237.8121284,,Required: L60,200.0,,65,224,,,,65,,
35.67181926,1,Required: L60,30.0,,71,303,,,,71,,
89.17954816,1,Required: L60,75.0,,72,317,,,,72,,
59.4530321,1,Required: L60,50.0,,73,331,,,,73,,
71.34363853,2,Required: L58,60.0,,74,345,,,,74,,
154.5778835,5,Required: L60,130.0,,75,359,,,,75,,
166.4684899,5,Required: L70,140.0,,76,376,,,,76,,
83.23424495,2,Required: L70,70.0,,82,444,,,,82,,
83.23424495,2,Required: L70,70.0,,83,444,,,,83,,
130.7966706,2,Required: L70,110.0,,84,444,,,,84,,
118.9060642,5,Required: L70,100.0,,86,444,,,,86,,
118.9060642,5,Required: L70,100.0,,87,444,,,,87,,
118.9060642,5,Required: L70,100.0,,88,444,,,,88,,
118.9060642,5,Required: L70,100.0,,89,444,,,,89,,
118.9060642,5,Required: L70,100.0,,90,444,,,,90,,
29.72651605,0.5,Required: L60 & TBC,25.0,,96,444,,,,96,,
59.4530321,1,Required: L60 & TBC,50.0,,97,444,,,,97,,
89.17954816,2,Required: L60 & TBC,75.0,,98,444,,,,98,,
118.9060642,2,Required: L60 & TBC,100.0,,99,444,,,,99,,
148.6325803,2,Required: L60 & TBC,125.0,,100,444,,,,100,,
267.5386445,4,Required: L60 & TBC,225.0,,101,444,,,,101,,
356.7181926,6,Required: L60 & TBC,300.0,,102,444,,,,102,,
463.7336504,14,Required: L70,390.0,,108,444,,,,108,,
1307.966706,24,Required: L70,1100.0,,109,444,,,,109,,
