Site$,Time,Required,PA$,Game Name,Level,Per Level,Per Range,Per Level.1,Per Range.1,xxx.1,Per Level.2,Per Range.2
30.0,2.5,Required: L55+ & Mount,35.67181926,L45+ 126 to 185 skill,1,0,,0,,1,0,
55.0,5,Required: L55+ & Mount,65.39833532,L50+ 186 to 205 skill,2,2,,,,2,,
,,,,L55+ 206 to 300 skill,3,4,,,,3,,
120.0,2,Required: L60,142.6872771,,4,6,,,,4,,
35.0,2,,41.61712247,https://classic.wowhead.com/guides/season-of-mastery-som-overview-wow-classic,5,8,,,,5,,
100.0,2,Required: Quest active,118.9060642,,7,12,,,,7,,
200.0,RNG,Required: L60,237.8121284,,8,14,,,,8,,
250.0,,Required: L60,297.2651605,,14,26,,,,14,,
250.0,,Required: L60,297.2651605,,15,28,,,,15,,
300.0,,Required: L60,356.7181926,,16,30,,,,16,,
250.0,,Required: L60,297.2651605,,17,32,,,,17,,
200.0,,Required: L60,237.8121284,,18,34,,,,18,,
300.0,,Required: L60,356.7181926,,19,36,,,,19,,
350.0,,Required: L60,416.1712247,,20,38,,,,20,,
400.0,,Required: L60,475.6242568,,21,41,,,,21,,
200.0,,Required: L60,237.8121284,,22,44,,,,22,,
300.0,,Required: L60,356.7181926,,23,47,,,,23,,
300.0,,Required: L60,356.7181926,,24,50,,,,24,,
1300.0,,Required: L60,1545.778835,,25,53,,,,25,,
200.0,,Required: L60,237.8121284,,26,56,,,,26,,
1400.0,,Required: L60,1664.684899,,27,59,,,,27,,
2000.0,,Required: L60,2378.121284,,28,62,,,,28,,
8000.0,,Required: L60,9512.485137,,29,65,,,,29,,
300.0,,Required: L60,356.7181926,,30,68,,,,30,,
300.0,,Required: L60,356.7181926,,31,72,,,,31,,
200.0,,Required: L60,237.8121284,,32,76,,,,32,,
30.0,1,Required: L60,35.67181926,,38,100,,,,38,,
75.0,1,Required: L60,89.17954816,,39,104,,,,39,,
50.0,1,Required: L60,59.4530321,,40,108,,,,40,,
60.0,2,Required: L58,71.34363853,,41,112,,,,41,,
130.0,5,Required: L60,154.5778835,,42,116,,,,42,,
70.0,2,Required: L70,83.23424495,,48,146,,,,48,,
70.0,2,Required: L70,83.23424495,,49,152,,,,49,,
110.0,2,Required: L70,130.7966706,,50,158,,,,50,,
100.0,5,Required: L70,118.9060642,,52,174,,,,52,,
100.0,5,Required: L70,118.9060642,,53,182,,,,53,,
100.0,5,Required: L70,118.9060642,,54,190,,,,54,,
100.0,5,Required: L70,118.9060642,,55,198,,,,55,,
100.0,5,Required: L70,118.9060642,,56,208,,,,56,,
25.0,0.5,Required: L60 & TBC,29.72651605,,62,248,,,,62,,
50.0,1,Required: L60 & TBC,59.4530321,,63,248,,,,63,,
75.0,2,Required: L60 & TBC,89.17954816,,64,248,,,,64,,
100.0,2,Required: L60 & TBC,118.9060642,,65,248,,,,65,,
125.0,2,Required: L60 & TBC,148.6325803,,66,248,,,,66,,
225.0,4,Required: L60 & TBC,267.5386445,,67,248,,,,67,,
300.0,6,Required: L60 & TBC,356.7181926,,68,248,,,,68,,
390.0,14,Required: L70,463.7336504,,74,248,,,,74,,
1100.0,24,Required: L70,1307.966706,,75,248,,,,75,,
