Site$,Time,Required,PA$,Game Name,Primary,Per Level,Per Range,Secondary,Per Level.1,Per Range.1,Per Level.2,Per Range.2
10.0,1,5.5 Death Unto Dawn,11.89060642,,45,24.5,,45,12.25,,,
10.0,1,6.1 Newfound Adventure,11.89060642,,46,25.5,,46,12.75,,,
15.0,1,Required: Level 60,17.83590963,,47,26.5,,47,13.25,,,
15.0,1,Required: Level 70,17.83590963,,48,27.5,,48,13.75,,,
15.0,1,Required: Level 80,17.83590963,,49,28.5,,49,14.25,,,
25.0,1,,,,50,29.5,,50,14.75,,,
20.0,1.5,Required: iLvl 550,23.78121284,,56,35.5,,56,17.75,,,
25.0,1,Required: Level 50+,29.72651605,,57,36.5,,57,18.25,,,
25.0,1,Required: Level 50+,29.72651605,,58,37.5,,58,18.75,,,
30.0,1,Required: Level 50+,35.67181926,,59,38.5,,59,19.25,,,
30.0,2,Required: Level 100,35.67181926,,60,39.5,,60,19.75,,,
15.0,1,"Required: L60, iLvl 270, Quest Let the Hunt Begin",17.83590963,,66,51.5,,66,25.75,,,
15.0,1,"Required: L60 iLvl 270 or L70, Let the Clant Hunt Begin, Heavensward areas & aethers",17.83590963,,67,53.5,,67,26.75,,,
20.0,1,Required: L60+,23.78121284,,68,55.5,,68,27.75,,,
15.0,1,Required: L80+,17.83590963,,69,57.5,,69,28.75,,,
2.5,1,Required: Level 15+,2.972651605,,74,67.5,,74,33.75,,,
5.0,2,Required: Level 15+,5.94530321,,75,69.5,,75,34.75,,,
10.0,4,Required: Level 15+,11.89060642,,76,71.5,,76,35.75,,,
15.0,1,Required: Level 30+,17.83590963,,82,83.5,,82,41.75,,,
30.0,2,Required: Level 30+,35.67181926,,83,85.5,,83,42.75,,,
100.0,7,Required: Unlock Warrior (WAR) & any L61+ Dungeon or trial extreme in Stormblood,118.9060642,,89,97.5,,89,48.75,,,
100.0,7,Required: Unlock Paladin (PLD) & any L61+ Dungeon or trial extreme in Stormblood,118.9060642,,90,99.5,,90,49.75,,,
100.0,7,Required: Unlock Dark Knight (DRK) & any L61+ Dungeon or trial extreme in Stormblood,118.9060642,,91,103.5,,91,51.75,,,
100.0,7,Required: Unlock Gunbreaker (GNB) & any L61+ Dungeon or trial extreme in Stormblood,118.9060642,,92,107.5,,92,53.75,,,
70.0,5,Required: Unlock Gunbreaker (GNB) & any L61+ Dungeon or trial extreme in Stormblood,83.23424495,,93,111.5,,93,55.75,,,
60.0,2.5,Required: Unlock Warrior (WAR),71.34363853,,94,115.5,,94,57.75,,,
60.0,2.5,Required: Unlock Paladin (PLD),71.34363853,,95,119.5,,95,59.75,,,
60.0,2.5,Required: Unlock Dark Knight (DRK),71.34363853,,96,123.5,,96,61.75,,,
60.0,4,"Required: iLvl 130, Unlock all Trial Extremes in ARR except Moogle",71.34363853,,98,131.5,,98,65.75,,,
10.0,1,"Required: iLvl 130, Unlock The Bowl of Embers (Extreme)",11.89060642,,99,135.5,,99,67.75,,,
10.0,1,"Required: iLvl 130, Unlock The Howling Eye (Extreme)",11.89060642,,100,139.5,,100,69.75,,,
10.0,1,"Required: iLvl 130, Unlock The Navel (Extreme)",11.89060642,,101,139.5,,101,69.75,,,
10.0,1,"Required: iLvl 130, Unlock The Whorleater (Extreme)",11.89060642,,102,139.5,,102,69.75,,,
10.0,1,"Required: iLvl 130, Unlock The Striking Tree (Extreme)",11.89060642,,103,139.5,,103,69.75,,,
10.0,1,"Required: iLvl 130, Unlock Akh Afah Amphitheatre (Extreme)",11.89060642,,104,139.5,,104,69.75,,,
70.0,5,"Required: iLvl 270, Unlock all Trial Extremes in Heavensward",83.23424495,,106,139.5,,106,69.75,,,
10.0,1,"Required: iLvl 270, Unlock The Minstrel's Ballad: Nidhogg's Rage",11.89060642,,107,139.5,,107,69.75,,,
10.0,1,"Required: iLvl 270, Unlock Thok ast Thok (Extreme)",11.89060642,,108,139.5,,108,69.75,,,
10.0,1,"Required: iLvl 270, Unlock The Minstrel's Ballad: Thordan's Reign",11.89060642,,109,139.5,,109,69.75,,,
10.0,1,"Required: iLvl 270, Unlock Containment Bay P1T6 (Extreme)",11.89060642,,110,139.5,,110,69.75,,,
10.0,1,"Required: iLvl 270, Unlock The Limitless Blue (Extreme)",11.89060642,,111,139.5,,111,69.75,,,
10.0,1,"Required: iLvl 270, Unlock Containment Bay Z1T9 (Extreme)",11.89060642,,112,139.5,,112,69.75,,,
10.0,1,"Required: iLvl 270, Unlock Containment Bay S1T7 (Extreme)",11.89060642,,113,139.5,,113,69.75,,,
100.0,8,"Required: Lv 70, iLvl 300, Unlock The Lochs area",118.9060642,,115,139.5,,115,69.75,,,
120.0,7,"Required: iLvl 370, Unlock The Great Hunt (Extreme) - (50 Runs)",142.6872771,,116,139.5,,116,69.75,,,
119.0,7,Required: See Below,141.4982164,,118,139.5,,118,69.75,,,
20.0,1,"Required: iLvl 340, Unlock The Jade Stoa (Extreme)",23.78121284,,119,139.5,,119,69.75,,,
20.0,1,"Required: iLvl 300, Unlock Emanation (Extreme)",23.78121284,,120,139.5,,120,69.75,,,
20.0,1,"Required: iLvl 350, Unlock The Minstrel's Ballad: Tsukuyomi's Pain",23.78121284,,121,139.5,,121,69.75,,,
20.0,1,"Required: iLvl 380, Unlock The Wreath of Snakes (Extreme)",23.78121284,,122,139.5,,122,69.75,,,
20.0,1,"Required: iLvl 320, Unlock The Minstrel's Ballad: Shinryu's Domain",23.78121284,,123,139.5,,123,69.75,,,
20.0,1,"Required: iLvl 300, Unlock The Pool of Tribute (Extreme)",23.78121284,,124,139.5,,124,69.75,,,
20.0,1,"Required: iLvl 370, Unlock Hells' Kier (Extreme)",23.78121284,,125,139.5,,125,69.75,,,
120.0,3.5,Required: Unlock Eureka,142.6872771,,127,139.5,,127,69.75,,,
240.0,28,Required: Level 30+,285.3745541,,128,139.5,,128,69.75,,,
30.0,2,"Required: Unlock The Cloud Deck (Extreme) Trial, iLvl 510",35.67181926,,130,139.5,,130,69.75,,,
30.0,2,"Required: Unlock Castrum Marinum (Extreme) Trial, iLvl 500",35.67181926,,131,139.5,,131,69.75,,,
30.0,2,"Required: Unlock The Seat of Sacrifice (Extreme) Trial, iLvl 480",35.67181926,,132,139.5,,132,69.75,,,
30.0,2,"Required: Unlock Cinder Drift (Extreme) Trial, iLvl 470 ",35.67181926,,133,139.5,,133,69.75,,,
30.0,2,"Required: Unlock The Minstrel's Ballad: Hades' Elegy (Extreme) Trial, iLvl 450",35.67181926,,134,139.5,,134,69.75,,,
30.0,2,"Required: Unlock The Crown of The Immaculate (Extreme) Trial, iLvl 430",35.67181926,,135,139.5,,135,69.75,,,
30.0,2,"Required: Unlock The Dancing Plague (Extreme) Trial, iLvl 430",35.67181926,,136,139.5,,136,69.75,,,
15.0,1,"Required: Unlock Zodiark's Fall(Extreme) Trial, iLvl 560",17.83590963,,138,139.5,,138,69.75,,,
15.0,1,"Required: Unlock Hydaelyn's Call (Extreme) Trial, iLvl 560",17.83590963,,139,139.5,,139,69.75,,,
20.0,1,"Required: Unlock Endsinger's Aria (Extreme) Trial, iLvl 580",23.78121284,,140,139.5,,140,69.75,,,
20.0,1,"Required: Unlock Storm's Crown (Extreme) Trial, iLvl 600",23.78121284,,141,139.5,,141,69.75,,,
60.0,2,"Required: Unlock Mount Ordeals (Extreme) Trial, iLvl 600",71.34363853,,142,139.5,,142,69.75,,,
70.0,2,"Required: Unlock The Voidcast Dais (Extreme) Trial, iLvl 620",83.23424495,,143,139.5,,143,69.75,,,
90.0,2,"Required: Unlock The Abyssal Fracture (Extreme) Trial, iLvl 640",107.0154578,,144,139.5,,144,69.75,,,
240.0,3,,285.3745541,,146,139.5,,146,69.75,,,
25.0,1,"Required: Unlock Everkeep (Extreme) Trial, iLvl 690",29.72651605,,148,139.5,,148,69.75,,,
25.0,1,"Required: Unlock Worqor Lar Dor (Extreme) Trial, iLvl 690",29.72651605,,149,139.5,,149,69.75,,,
35.0,3,Required: Any job level 30+,41.61712247,,151,139.5,,151,69.75,,,
32.0,3,Required: Dawntrail hunts,38.04994055,,152,139.5,,152,69.75,,,
180.0,2-3 weeks,Required: Level 100,214.0309156,,153,139.5,,153,69.75,,,
180.0,2-3 weeks,Required: Level 100,214.0309156,,154,139.5,,154,69.75,,,
120.0,3,"Required: Unlock Worqor Lar Dor (Extreme) Trial, iLvl 690",142.6872771,,155,139.5,,155,69.75,,,
120.0,3,"Required: Unlock Everkeep (Extreme) Trial, iLvl 690",142.6872771,,156,139.5,,156,69.75,,,
