Site$,Time,Required,PA$,Game Name,Level,Per Level,Per Range,Per Level.1,Per Range.1,xxx.1,Per Level.2,Per Range.2
320.0,1 Week,"Requires: L60, Location story Completed, Covenant selected",380.4994055,,65,94,,,,65,,
250.0,8 Weeks,Requires: Level 60,297.2651605,,71,114,,,,71,,
250.0,8 Weeks,Requires: Level 60,297.2651605,,72,114,,,,72,,
250.0,8 Weeks,Requires: Level 60,297.2651605,,73,114,,,,73,,
250.0,8 Weeks,Requires: Level 60,297.2651605,,74,114,,,,74,,
45.0,4 Weeks,Requires: Level 60,53.50772889,,80,114,,,,80,,
65.0,4 Weeks,Requires: Level 60,77.28894174,,81,114,,,,81,,
110.0,4 Weeks,Requires: Level 60,130.7966706,,82,114,,,,82,,
200.0,24,Requires: Level 60,237.8121284,,88,114,,,,88,,
280.0,1 Week,Requires: Level 60,332.9369798,,89,114,,,,89,,
